,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.49570195845501475,0.8904329970982323,-0.8450340974203748,0.08451051678872963,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.3353366611140554,0.7484379036535888,-1.1582724075676132,0.035900259788059774,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.639494189117803,0.22246434231378753,1.5233571375458033,0.06395405565769556,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.6440541523355712,0.21619549049032633,1.574845564868324,0.07714861216934535,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.6432580649953777,0.21585848120353618,1.5753118619634865,0.07108195836975317,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.15007975752204933,0.4972860570366917,-1.7283465791970023,0.053087510520180736,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.16584219888991836,0.5630664802457734,-1.7634941184908002,0.02318813865749573,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.6412488800419265,0.21574336260918797,1.5715682257522872,0.07955944705266023,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.33853853574461357,0.757042289216035,-1.1610538282847618,0.045921393126985476,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.5162820760941564,0.16071878706458556,1.6836209312422388,0.07062683223295434,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5451672922384205,0.16577604341676871,1.7174634735231604,0.03574357628851843,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.5218922827652501,0.13789894093890523,1.9201406919215676,0.0630356388001559,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.6046406912484952,0.15398301728535202,1.9733068275204746,0.0385380768061568,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.7018377384470693,0.32414611260529674,1.1144932536574195,0.020533328178378836,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.4076251303648365,0.8063464330653988,-0.9841568040201143,0.03773711361309318,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.6514044536592124,0.2676328116395985,1.2832985830258081,0.019486308964712876,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.7840430775913363,0.3784774390924272,1.0507256181227493,0.03933994576589749,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.632364935973854,0.23997203314766274,1.397891092989999,0.018422051053212263,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5519463666086173,0.20232862604545926,1.4478276340941094,0.06900145710692314,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.15388261410430093,0.4975000082903846,-1.69286630674082,0.05516937465418391,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.16837183697588692,0.5651438472102921,-1.746967282813755,0.023789318572579085,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.6943738700358582,0.3818375951592572,0.8627535034523344,0.08144717018337749,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.36412528573640546,0.7636435689297246,-1.0684644881531684,0.06169316721344573,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.6511502854348167,0.2694836462978217,1.2727928305049834,0.020180710961370897,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.5183790572556084,0.13592982056344485,1.9311454416474532,0.0599671184875716,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.14154250103121957,0.48070530378603776,-1.7639174045062136,0.0631526939829073,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.40026611405037715,0.8634095731617369,-1.1090856045279356,0.06723159169590236,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.5767623200088823,0.2096035488962807,1.460313772087771,0.06823976234384865,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.6250253044051874,0.2317592046046947,1.4312879606418318,0.018957915365162562,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.5482159635266812,0.13130587903383845,2.0618128263868725,0.08537551573905314,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.1492900073273256,0.5022335159885648,-1.7502407060191376,0.05218386496101224,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.19908508428743962,0.5557506697167643,-1.4810526452725663,0.04541201309171894,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.6188467375436023,0.22864909849284282,1.4364469274840197,0.019554532348414734,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.5767623200088821,0.20960354889628086,1.4603137720877692,0.06823976234384901,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.5636179116469624,0.1170333024556495,2.26779834602942,0.06023570919362683,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.4612471635825506,0.8670059704936504,-0.9105018889469062,0.08451779934314005,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.7018377384470691,0.3241461126052967,1.1144932536574195,0.020533328178378878,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.3770776707851812,0.8232386721605784,-1.1264490336640214,0.052596577264533984,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.5163262789107343,0.1280173771550845,2.0119433714840427,0.05697327090467133,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.6675595782095969,0.2923874589408015,1.191015167215539,0.03341519812970018,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.26493572214374495,0.6530098809806469,-1.3014624419120588,0.020676420014581528,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.4002661140503758,0.8634095731617369,-1.1090856045279405,0.06723159169590126,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.5158915294169126,0.12713720618582347,2.020681467664638,0.05683565284884274,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.6520278130138515,0.2706340872151623,1.2685899428834566,0.020231463354969174,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.4765326343147031,0.12070213886713324,1.9811237762147509,0.07254770271953653,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.5297700354390855,0.14157263171249376,1.9038238490850523,0.0538443928179731,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.5094919399617146,0.13211619720058296,1.9472519743255488,0.08435575024101677,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.6342227403223163,0.2358094866877674,1.4273678472569253,0.07780867227210446,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.5444612910885743,0.14954313612942266,1.864267789217061,0.050088804798662165,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.3586372702186367,0.7980379977830516,-1.1539320171537222,0.06944751570752494,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.37242226243788723,0.8083700214020372,-1.1180765039689224,0.07332938155272897,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.5354646686740471,0.09762346265662662,2.4554915559722033,0.05597229681045439,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.5572447634550683,0.12973109230238275,2.102786866367857,0.05834289233444422,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.5163262789107343,0.1280173771550843,2.011943371484045,0.05697327090467123,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.5491683275135918,0.13857274359739336,1.9866049063639948,0.0777617323711293,0.136600825182485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.7073451998116076,0.3983463940807125,0.8283909380019574,0.08703245511518498,0.1367652866095764,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.5162300158646203,0.17114759571457946,1.59277300297608,0.09506677491150596,0.1442392446933194,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.5020796149554412,0.08963937369398076,2.485711677062233,0.0936543323815223,0.1442392446933194,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.5189981407246458,0.12782743572253974,2.0215318537253966,0.10039142536768669,0.14973636326027848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.17158838865138754,0.4760955081893137,-1.4722990883029794,0.10218801489945382,0.14987575518586563,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.6084701059384057,0.26766962870393674,1.1847329332489807,0.11087575912773537,0.1599519148072248,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.4621463037189005,0.8460893230599222,-0.8724603347448494,0.11996943279956564,0.16813928087808988,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.46189555605468036,0.8451163899322726,-0.8715833779633748,0.12037243971954162,0.16813928087808988,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.6006798054728512,0.20747244284136146,1.5336764362813273,0.1228796535965209,0.16895952369521622,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.49023437499999994,0.1453125000000001,1.7543128377301018,0.12960169448619907,0.1754607556120849,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.10885013502872642,0.41796299910329743,-1.9410320336954514,0.132442669576784,0.17659022610237865,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.57139085497605,0.28212270811833023,1.018155152908076,0.1528850116601767,0.20080419441933658,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.4633115144332576,0.7583911464372111,-0.7109595847687676,0.16523141547048956,0.21382889060886884,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.552096095482135,0.1989922830218843,1.4722069144561956,0.17135939400986536,0.21854531409953842,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.6318297132445854,0.3809493019865206,0.7299367729421732,0.20155453091262626,0.2498140664832551,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.47935866959604323,0.74651528399265,-0.6390662732053807,0.20063053431358982,0.2498140664832551,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.670061485844279,0.3192154916926523,1.069762817505146,0.21990805331243626,0.2687765096040888,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.6563298875490053,0.37844159219852713,0.7943504759907978,0.23839681607076899,0.2873824632085982,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.8474741052463202,0.5753749750333668,0.5586668122171266,0.24516784440147804,0.29155095009905496,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.5279055209382464,0.782744407531492,-0.568261541715802,0.24908723973560745,0.2922623612897794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.6211863796716806,0.32667120835146035,0.9271868907610984,0.3020520523346728,0.34414900535488285,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.5702156993152849,0.3690213133505981,0.6278036168530448,0.3050411638372825,0.34414900535488285,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.6889388615365111,0.46716824971386456,0.5604337323394303,0.30047028869392184,0.34414900535488285,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.6051152958839485,0.3955957430953557,0.6131831513443945,0.3099356837381118,0.34524481226523845,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.47964841504040684,0.7089726418664007,-0.5637526674951758,0.33057125251291924,0.3627476029431358,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.8386365014268247,0.6090498612555507,0.4614852819767353,0.33389267998175,0.3627476029431358,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.6210455694001227,0.35795938632756225,0.7949032202942145,0.3788524929984856,0.406573407120326,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.33145063030878774,0.5462057785445885,-0.7206505806796027,0.39474903049573,0.418529092573786,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.370554589254108,0.5488259822325479,-0.5666626897217487,0.5304581228177208,0.5557180334280883,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.39437269524620167,0.33154436518305014,0.2503577332265695,0.7598555888658192,0.7866740214140245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.44001170745957996,0.37348687991582424,0.23648434627323353,0.7910777621635442,0.8094749194231615,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.5796255655153194,0.6357123969017515,-0.13325299324132794,0.8260804442046328,0.8355756217242263,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.4776471465273824,0.479605967681019,-0.005904364199671593,0.9940914058981489,0.9940914058981489,r_hippocampus,male_P45_nrxn,male_P45_control
