,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.27929314134552763,0.8096905619537272,-1.5355905155303151,0.005971097068985408,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.8054441632987147,0.31847491599322436,1.3386048327295228,0.011887415081893083,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.25271304970804476,0.8085822550348549,-1.6778943781648537,0.004649982163376927,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.25500571381346937,0.8053220925876236,-1.6590363383741569,0.004564058002864963,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.24767961482131423,0.7466683455796901,-1.5919924374179761,0.00896956775841399,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.7611671798719901,0.26971527333680295,1.4967761363096073,0.008718404083696622,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.2604011034156827,0.7676992885852099,-1.5598057494280504,0.011195320505100002,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.7609866839650679,0.30344375340177904,1.326442087068146,0.015796704987845515,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.763159772330895,0.2763941676716105,1.465257952988978,0.011038417955850578,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.21698854652417593,0.7743584715117906,-1.8353826898354921,0.006559317407397341,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.798435068390456,0.27747104292025143,1.5248378686454904,0.004922167940911697,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.7318168217045901,0.17410575791036537,2.0715186625346487,0.005150515945471715,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.7504589137242197,0.19011985746679638,1.9808638638871225,0.005274406196765973,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.22154852805849679,0.7748748282121231,-1.8063405372636847,0.007442481421206269,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.7526853775814821,0.1891530379213755,1.9924929973061944,0.0053959619204217765,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.23648599369466283,0.7143046803147448,-1.5947848343785025,0.011761669528287767,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.23648966027614685,0.7142291309196397,-1.59460986973078,0.011740665226255408,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.1494301032711729,0.6864628251536928,-2.1997107805980565,0.016358465867692025,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.26402648391975003,0.7323176360679565,-1.4717868895883495,0.011489000778953214,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.7505151733064183,0.2861813827209824,1.3909514175219533,0.016516954921845937,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.2271342602409152,0.787607306212704,-1.7939311602236387,0.005341276129798301,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.7411059338525983,0.18205630642672332,2.025295059857245,0.0052214309081729535,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.7632531468287274,0.2248141331295547,1.763428897908102,0.004216593979348323,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.2399555661639592,0.6916233096885608,-1.5272192136327425,0.014496252697043507,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.7969651527571056,0.27229114856408837,1.549366558761519,0.006103956655321696,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.6848530956149828,0.22543978627838418,1.6030524069632448,0.015971174368586173,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.7548113820818739,0.28027645947268426,1.42926560108904,0.014990361216265171,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.7574031205444368,0.2941194750517539,1.3646590501210953,0.013022314772609343,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.6817623282591703,0.1789096919458081,1.9300373399415836,0.012176236857872481,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.6814386520858199,0.17239974344675496,1.9828261537818124,0.011418709600177766,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.782259784054673,0.3193579395874341,1.2924734800446038,0.016369323330625168,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.7548113820818739,0.2802764594726842,1.4292656010890408,0.014990361216265182,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.26402648391975037,0.7323176360679564,-1.4717868895883475,0.011489000778953354,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.7549240639044309,0.28042598907367555,1.4287114739516689,0.014985146157635154,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7334911009722505,0.24148588552041472,1.6028405943984745,0.009353229646126223,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.7443655383849613,0.2786752572502276,1.417426349513306,0.01565336040908075,0.04037477869784562,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.6741452068068768,0.20234999301735726,1.736206573455789,0.019638564449056414,0.04670793706802606,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.8472078828373539,0.3918519668981212,1.1124072743013014,0.02168707978384568,0.05017367133242985,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.15403389367731096,0.7463076233556363,-2.2765225859630904,0.022806214242013567,0.05017367133242985,r_hippocampus,male_P45_nrxn,male_P45_control
