,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.2838793898786808,0.5912058316716264,-1.0583823895632476,0.1859344508751935,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6722165704543994,0.41776772765279835,0.6862250569531687,0.2714073896149721,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.2773107639346022,0.5460080296485834,-0.9774185514359192,0.24696401906447582,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.7004541663326058,0.4818073572871414,0.5398342281655882,0.35330790940625467,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.6188276248285929,0.379324932389387,0.7061034003127749,0.2999668152503017,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.6208911494765191,0.39008268888700115,0.6705603910997318,0.340197402547631,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.24532827572008098,0.6578942139690223,-1.4231421009067777,0.06766822818741342,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.35738718797124924,0.6525869273588032,-0.8686821717001827,0.19284221045813518,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.7022414278636722,0.33643567007393027,1.061636435514388,0.10210521453993579,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7087883735080738,0.35462019110427734,0.999080257392412,0.10602641257265576,0.6218219205550082,r_hippocampus,male_P45_nrxn,male_P45_control
