,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.32946306379648194,0.8404434463112349,-1.3510340100277554,0.008997032894731041,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.22941229217679748,0.7828812800637095,-1.7708508520902622,0.006437353208423716,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.6701974679740297,0.16836690588548847,1.9929776451506191,0.009244286437662955,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.6701974679740307,0.16836690588548908,1.992977645150616,0.009244286437662877,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.6190820673442219,0.13232000134417418,2.2260995157478276,0.008820885990566301,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5774771960502305,0.0846270843086812,2.7705726103318997,0.00869358384514481,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.6267559571473643,0.14148841845319207,2.1472198375920564,0.009263199400292483,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.1901215577761944,0.7175225238395349,-1.9161019926815688,0.009875299495946016,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.625679947074273,0.1343913161857329,2.218984946564143,0.007259212239605931,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.14720184723763474,0.6799885749788498,-2.2077147308113765,0.010328777233966673,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.14838024481710313,0.7424090424356227,-2.322915256480839,0.0007133657805769047,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.19439783837187075,0.7304803706562399,-1.909833328868091,0.006436226347607487,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.1458367976455564,0.6818593181789587,-2.2251193243807483,0.009851983762385592,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.7085450169257683,0.18625083998744785,1.927612584589103,0.009258610190113465,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.3078948563286452,0.8234239589876866,-1.4191976610385062,0.007654611064910541,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.6338561462763586,0.1434043692262311,2.1440664771513953,0.00952753094976495,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.3078948563286449,0.8234239589876864,-1.4191976610385073,0.007654611064910551,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.6452709461581544,0.15682786592349213,2.040723141274731,0.004797149235537961,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.6215204956646702,0.13576737378223633,2.1946651397026704,0.00923836640675825,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.6178814513447204,0.12006354021869861,2.3635319514136546,0.010230888978041008,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.7726562359567217,0.15742333668640623,2.2951772604257585,0.002935004375084344,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.7087444688624727,0.17502134684351356,2.017734677013794,0.006179943975226255,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.62152049566467,0.13576737378223633,2.19466513970267,0.009238366406758253,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.6600673517493884,0.16511181408233924,1.9991698895789567,0.009952380437187889,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.6641013055999605,0.15098419997944612,2.1370057508919698,0.008790689334782057,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.62648307203155,0.13911496632543838,2.1709978906814986,0.009205468167180217,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.7284577123024649,0.18259737387624142,1.996179208267513,0.007161784475256502,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.7316961408282102,0.17041878160834284,2.102160308027503,0.0048288630311333685,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.6516459593167089,0.15468425741759803,2.0747619801406487,0.007433376431617091,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.1699234777693771,0.7281043079030353,-2.099259946353046,0.008501170550579027,0.03029774655296891,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.1933766843626825,0.7178495975942977,-1.892267747153507,0.01119115783485309,0.0317684480473249,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.19545655079606994,0.708084636386457,-1.857073876099913,0.014080557615546014,0.0369535508898671,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.8202338744081017,0.2737561655565804,1.5831438684364656,0.014277508298357599,0.0369535508898671,r_hippocampus,male_P45_nrxn,male_P45_control
