,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.9288468511394463,0.07363886898896468,3.6569013699574784,4.161080344516803e-06,0.00036617507031747867,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.9075689167649152,0.09366328873756113,3.276451598698625,2.4825035085182857e-05,0.0007282010291653639,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.9432271773075542,0.10029322148500622,3.233381185588133,1.9791573977670444e-05,0.0007282010291653639,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.852318485296734,0.07699652945556465,3.468527297823542,3.9657031237087444e-05,0.0008724546872159238,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8116281073785058,0.08633305942866003,3.232833807698199,9.964246307849908e-05,0.0014614227918179866,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.8530243732870144,0.08534284267357042,3.321244892963975,9.348827339277775e-05,0.0014614227918179866,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.27963083998997185,0.9030344039968092,-1.6912574710873207,0.00040738568705446347,0.005121420065827541,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.25140072484665055,0.8312714078280191,-1.7253307804815308,0.001269982039298829,0.013214448612216836,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.053733637322705544,0.7781556433395561,-3.856161340738892,0.00149118177264629,0.013214448612216836,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.6847983881393876,0.09845338323839517,2.79816661730161,0.0015016418877519132,0.013214448612216836,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.7973440188765647,0.10739260286849225,2.8923076931314418,0.0017551503970837292,0.014041203176669834,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.9510165547685324,0.2839511782611842,1.7438275566716608,0.002088326803757707,0.014136366056206015,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.7481880034066004,0.1712166736791966,2.1275776303434415,0.0019655775839030934,0.014136366056206015,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.06966429286698082,0.703052555859516,-3.335141257466006,0.002520622602010009,0.015843913498348627,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.005924112011396018,0.7198391679136427,-6.924931875200363,0.0037335781450226254,0.02053467979762444,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.00592411201139606,0.7198391679136427,-6.924931875200353,0.0037335781450226254,0.02053467979762444,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.0022605593578240712,0.662866560729563,-8.195894865142124,0.009865279644018211,0.041747450457239856,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.19141249416804587,0.7568365119934934,-1.9832966874720068,0.008517564694341727,0.041747450457239856,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.009953399148083332,0.6827771391124965,-6.100081645144312,0.009550873422022406,0.041747450457239856,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.001617471013379758,0.6639899405607222,-8.681277716719697,0.009962459768204967,0.041747450457239856,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.0019367386297981376,0.6634599265992335,-8.420236248379135,0.009895504839694891,0.041747450457239856,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.03267271968728966,0.7016725803901946,-4.4246395313301,0.01116969424281641,0.04391542771516447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.11669317766470104,0.6909359947443887,-2.5658318539446348,0.011477895880099804,0.04391542771516447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.014419448323352062,0.6165576599787753,-5.4181479462425175,0.011981251604446583,0.04393125588297081,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.17553191489361694,0.7404255319148934,-2.076621281602913,0.014901515995136578,0.04521839336455238,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.5348468479119876,0.04306942962052922,3.6343897156100193,0.014411401144996698,0.04521839336455238,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.10417909926059438,0.6440167983829767,-2.628032451131317,0.014061104390490417,0.04521839336455238,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.016902915930553472,0.6128768371294537,-5.180253127930101,0.014466690703428708,0.04521839336455238,l_amygdala,male_P45_nrxn,male_P45_control
