,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_DifferenceAverage,0.23344554246092475,0.5640997300026133,-1.2728642051985601,0.07428473565618364,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.7979478473188966,0.4603806238635514,0.7934673413956186,0.060844633372835515,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.7873716451740354,0.45238123474578484,0.7995056730558336,0.06049770882484362,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.11906802378004167,0.4765498725601095,-2.0008411815848564,0.06999664162229274,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.1674834060308319,0.5209850991080313,-1.6372239471310208,0.05952521596796097,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.18790968681718878,0.5235251274581216,-1.4782193431993262,0.07474844994473846,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.23418193740237098,0.7238431491378026,-1.6280473068450012,0.04219611653185226,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.2599136372413464,0.5971514697170758,-1.200064591301305,0.06903719572396388,0.8222329493921231,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.20533388180447007,0.5568627450980392,-1.4393500737195608,0.09731705314163927,0.9515445196071395,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.8338413306627195,0.5143429417399641,0.6970422761595696,0.11059745243892982,0.9732575814625825,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.2485808428213938,0.5591965045554643,-1.1696402250308489,0.12329551022759613,0.9863640818207691,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.36534632318967347,0.13992320620290216,1.384629435580195,0.2887581824815104,0.9975635238964526,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.2558557593190737,0.09809591787395053,1.3830657017662726,0.5070813059760098,0.9975635238964526,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.2835752482811307,0.5820728291316527,-1.0374680616927807,0.15749148510528005,0.9975635238964526,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.2568056508497501,0.5372103433552663,-1.0648101340112848,0.191894784876263,0.9975635238964526,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.5052387490712393,0.6624433859741694,-0.3908318733461211,0.5089894716194208,0.9975635238964526,l_amygdala,male_P45_nrxn,male_P45_control
