,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_Idn,0.353311004912225,0.8415631567253137,-1.252132858525389,0.011009263934443682,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.04479853474189208,0.5678645252328518,-3.6640233378359044,0.015433914535416263,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.2762716223982463,0.7080399520536689,-1.3577433870565543,0.018973888175614025,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.15253329314441122,0.7210584906566254,-2.240992121137934,0.005643178701319374,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.1564689652561157,0.6010606915557503,-1.9416341380668807,0.017022800912370732,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.13130945086120727,0.6474452504205274,-2.30178744363555,0.008526234244361114,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.7572774245201827,0.2516298299215802,1.589518961335075,0.0054284123121780305,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.26932422987606447,0.706736757208678,-1.3918289167860929,0.01743959405138125,0.20871276993175428,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.39928944427077795,0.867580603754672,-1.1195628664814685,0.021975218933823926,0.21486880735294503,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.3965094049769417,0.8834180818695947,-1.1557412756352567,0.026424330688220803,0.23253411005634306,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.4971696518912617,0.9341868573529888,-0.9099729142261679,0.044718850131477694,0.3567143909639848,l_amygdala,male_P45_nrxn,male_P45_control
