,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.6324103603163214,0.18448752171242555,1.77733776330794,0.026316448509041912,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.310928887200495,0.7495578825879228,-1.2694552325895738,0.019944473576519097,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.31282918000589977,0.7920685136939423,-1.3402501381129917,0.025367479086211377,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.8085807732556325,0.28558990823540514,1.5014468986708174,0.032254503699839066,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.22143557367074534,0.6678755188499806,-1.5926922228343463,0.020276204485668685,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.32793985940027004,0.7872120659277405,-1.2633210690979155,0.022143988209339698,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.226145239222762,0.7290617351159973,-1.6887913586368195,0.030066465838033015,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.31469757065258586,0.7753288699160965,-1.3008423440732,0.030458791658320657,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.29746009158361486,0.786452115923814,-1.4026628043446931,0.02705827729994214,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.2214355736707454,0.6678755188499806,-1.5926922228343459,0.020276204485668713,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.3791315420953789,0.8442203453909392,-1.1549211106647792,0.020426124005684346,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.2214356230866553,0.6678756498570079,-1.5926921838719064,0.02027619145632417,0.23653302713215316,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.18928670343992238,0.7026222434117984,-1.8921761780989261,0.03535007449052345,0.23929281193585103,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.3170000000000073,0.7794666666666672,-1.2980044880580948,0.05092378594313662,0.24896073127755677,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.7431097007962109,0.31974632408019943,1.216647429383193,0.04482146411299342,0.24896073127755677,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.721906409517274,0.28521618705999574,1.3397559508661723,0.0452600632020408,0.24896073127755677,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.24504788626534513,0.6569169533359996,-1.4226472958759417,0.04994106962890897,0.24896073127755677,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.22421204290354524,0.62561474975725,-1.480410756203363,0.04744724534480465,0.24896073127755677,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.7006750022965227,0.22934646893912625,1.6112167311024579,0.05521172593885183,0.2542598480430529,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.6737220652453111,0.1885435396866157,1.8372558317934604,0.06002724805608065,0.2542598480430529,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.16884645613655042,0.6012738918528973,-1.8323104166671518,0.06067564555572854,0.2542598480430529,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterShade,0.35474223782521147,0.7096516936497573,-1.0003399879232484,0.06692016058854179,0.2560423535561599,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.3123303972220981,0.6996277879382291,-1.1635146066658035,0.06413379575633554,0.2560423535561599,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.33796291937650835,0.7557642725925916,-1.1610713538339295,0.07102472792899704,0.2604240024063225,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.13994807800209585,0.4845221590234729,-1.7916709734495349,0.07907747100349127,0.2783526979322893,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.8468500025857508,0.3807833310810642,1.1531361307814327,0.08968432228012065,0.30056543777314954,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.12205700352792441,0.49869397640732255,-2.0305996990575097,0.09221894113494361,0.30056543777314954,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.17515923566878983,0.6133757961783439,-1.8081041794314372,0.12994709226086043,0.3281828947083023,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.762078314286806,0.31737816168902244,1.2637364006584306,0.16691377772565916,0.3281828947083023,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
