,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.9702668149027254,0.41369579055304373,1.2298112524944678,0.012314177966344224,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.2699416612969453,0.8292443437370409,-1.6191496149167657,0.015828874322482603,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.12882047903467367,0.7007241919967264,-2.443484743217777,0.014107944795442619,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.08488735800833425,0.5912652660965207,-2.8001839092915413,0.01523293578175859,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.12882047903467356,0.7007241919967263,-2.4434847432177778,0.014107944795442627,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.04580984661796883,0.6002296372653959,-3.7117849184930414,0.015178411544221001,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1026434918045313,0.6337689200906065,-2.6263147568852228,0.02033043482067618,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.02821009544685449,0.6288761272141812,-4.4784924181372014,0.010095551539013235,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.10068211023258583,0.6403953838194706,-2.669155548578311,0.024016180425226408,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.10624073040304763,0.6213124118173301,-2.5479819046263588,0.023083334791686772,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.7788631977277746,0.10811962797558076,2.8487414976224943,0.008583012039292662,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.7919202655853443,0.1057413561988848,2.9048154445932055,0.008105538882242774,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.10067674160328315,0.635027680570398,-2.6570890500536097,0.023699191854025994,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.7144710644336507,0.2130492093091708,1.7456888871452554,0.025787242495255023,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7892049282979205,0.1070680043102068,2.8818725487810393,0.008218453165734222,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.12573435504469987,0.572286079182631,-2.1863576152509516,0.0238301946073775,0.0532497558904176,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
