,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.6917907068619773,0.26007506183242507,1.4114075651934503,0.03089303642187938,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.15324066433198685,0.6384254111293056,-2.058718890740333,0.025529335728220238,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.32653926424045654,0.7578464358352504,-1.2146490644235572,0.017620024457998398,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.1532406643319868,0.6384254111293054,-2.058718890740333,0.02552933572822032,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.07249627209516694,0.5209936064992895,-2.8452869523739697,0.048877222716875175,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.10134632203652957,0.5624548163665775,-2.472443472239616,0.034521985127149324,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.10473672399026454,0.5783170353628015,-2.465093214670873,0.03397845893816705,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.5572909229999794,0.11699651061163245,2.251965152918367,0.043701927251897116,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.6470415237951741,0.13209581389542863,2.2922735515001524,0.0314191169523744,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.10725420646282625,0.5597519814801009,-2.383753499419657,0.03612679226652365,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.6625934639690108,0.13705997793866728,2.2733166123960324,0.028761638363433848,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.30006505199212447,0.745361718158871,-1.3126654232663209,0.00917854804276396,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.5381008212149037,0.09828560915202326,2.452824408887548,0.041547680458668475,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.23020651094345126,0.6764263131643138,-1.5550041441914197,0.02647743006724783,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.24468085106382975,0.7177304964539006,-1.5525410230287788,0.03426676139335575,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.10245169470171567,0.5582616625315135,-2.4459976365685394,0.035074331606755056,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.10801032091853721,0.5641251729849864,-2.384846140232362,0.03553731915462141,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5898466374048531,0.11918259999282488,2.3071662708849137,0.03764351216488967,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.6507525099926175,0.13249385792836982,2.296183489578472,0.03218888100542037,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.19384045106945527,0.6652831178201863,-1.7790987573744204,0.04734445869558857,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.2838427476394596,0.7907798934248078,-1.4781843088752513,0.011658732352951399,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.4241150788034922,0.8805157520682428,-1.0538930367144304,0.02288058015029038,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.5569069084989008,0.1365053318122576,2.0284788865508676,0.03911518359351847,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.19790005409679085,0.6603847745881756,-1.738534852022189,0.031102129177107304,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.2456654424970553,0.6738207727561853,-1.4556699754384808,0.04889160516221047,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.21843795181295833,0.6655120200253151,-1.607241188814256,0.04412382908269645,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.24521722206561342,0.6966837617100847,-1.506443631612608,0.022713069367075428,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8534116099316981,0.3800673296602004,1.166986719894244,0.04610296513880419,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.1024092507752541,0.5581257615673132,-2.4462441968576587,0.03503077157902525,0.14836073290601798,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.5421642455705606,0.07727620813081824,2.8106337646752966,0.0530152034398004,0.15049477105491726,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.17965701455364008,0.6342876059240611,-1.81989188673947,0.05150071914393666,0.15049477105491726,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.23328214302095368,0.6918224146597964,-1.568325878982592,0.0610923924993357,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.14491725656480994,0.6339031084178881,-2.129032942998124,0.06335181882392461,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.117466389450365,0.5504277305744685,-2.228305136079046,0.057818977381867684,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.14488716514860606,0.6340128995380485,-2.129582394338225,0.0632310908445757,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.3278142719374571,0.7227263149352039,-1.1405707587951086,0.056556494102633824,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.14491725656480994,0.6339031084178881,-2.129032942998124,0.06335181882392461,0.15067459612176665,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.3321197461263864,0.6914945333930554,-1.0580143456081426,0.07172860363323794,0.16009478668841265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.08739822462376365,0.597234533589684,-2.7726217093625865,0.07339850837829637,0.16009478668841265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.029516271495453446,0.5135481763563499,-4.120917226906455,0.07418061974982204,0.16009478668841265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.10323164448946245,0.619296455851026,-2.584744909377892,0.07458961652528316,0.16009478668841265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.0680654138113105,0.4679424605408493,-2.781337332490217,0.077233594601572,0.16182276964138895,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.09171090402436416,0.5666169772898738,-2.6272086499413847,0.09087496528138236,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.8223097089886824,0.36420883243652963,1.1749159532784148,0.09076586796583068,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.12966757397782036,0.5745200018618192,-2.1475393716781164,0.08722013544046711,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.5249080853935196,0.1763894726220018,1.573300360486239,0.09078058311702492,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.10641377160568663,0.5970166300748807,-2.48808624853252,0.08672849405226245,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.5249080853935192,0.17638947262200116,1.5733003604862432,0.0907805831170247,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.08978163944700915,0.5625454122114621,-2.647477218699132,0.08895241450531817,0.16320401928085,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.20225762466384678,0.6499692305586887,-1.6841773327173555,0.09833766958715476,0.1632776400692381,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.16261349612302256,0.5674861336327324,-1.8031381419804557,0.09817437457530102,0.1632776400692381,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.24712756260440094,0.63623970759673,-1.3643144868581574,0.09328663547778562,0.1632776400692381,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.7219271030813117,0.3524922766496661,1.0342615202682384,0.09757464040928188,0.1632776400692381,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.4159216777568868,0.0750222703105119,2.4709210525769243,0.1054362388296431,0.17182201883349246,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.3811890752639843,0.032481722617767585,3.5528067219832846,0.11453256418751065,0.18178965503647018,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.4005175779430984,0.06723294295307128,2.5746253547098545,0.1156843259322992,0.18178965503647018,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.10484596890938527,0.4614063754688855,-2.137766544418376,0.12152698436309349,0.1843857693784867,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.8297262482432868,0.42672937130751054,0.9593140132337139,0.12093495605744485,0.1843857693784867,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.17682531366076526,0.5550972616333357,-1.6504157556922598,0.13975652556422705,0.20845041101105052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.19384044592586608,0.5298871617947832,-1.4508155451242266,0.14851591548579476,0.217823342712499,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.2972203485470295,0.6340590714877917,-1.0930843636389493,0.15628377384335831,0.21830114441611953,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.238172193699072,0.5972260076181485,-1.326272002185175,0.15193621219003922,0.21830114441611953,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.16613987801536023,0.5195356504801941,-1.644824349832895,0.15481982754207063,0.21830114441611953,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.3426280239418178,0.7189220818306122,-1.0691922611095521,0.16642189271931393,0.22883010248905664,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.15778506712476803,0.5166366574362267,-1.7111893377972232,0.1717227474329534,0.23229366959310602,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.24262419300600102,0.5348859118566677,-1.1405077912352615,0.17685995298566026,0.23229366959310602,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.6651565326107052,0.38854247345476656,0.7756215776466735,0.17435930384265372,0.23229366959310602,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.31240483492703475,0.5833011543627975,-0.9008241477793102,0.19275855069923165,0.2494522420813586,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.8532666921996176,0.5627153443877496,0.6005914285877623,0.2082470690715063,0.254524195531841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
