,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.24194438213985475,0.6348506344191517,-1.3917417584863212,0.03719225772691314,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.25303947334883836,0.6587822630487123,-1.3804392544007684,0.02080249034717751,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.2655423244407461,0.6765604440321076,-1.3492770019787368,0.021980402664274482,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.276254902264943,0.7933535479504105,-1.5219638619901357,0.0077032646181875355,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.6278687778849585,0.21565769875547805,1.5417198533046743,0.03139803315120827,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.29778291991782574,0.8012018358154205,-1.4279047199202664,0.021026124656332017,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.6253637558313837,0.23852364605055582,1.39056331255117,0.02261064809148798,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.6437994336347601,0.2571883743045804,1.3237858777005287,0.022058298435127327,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.7038312287286449,0.3142196215864678,1.1634562541578541,0.03400918510397453,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.2780827383878868,0.6501353915175677,-1.2252259983873055,0.03157311570753925,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.22351147220700018,0.5916084915775178,-1.4042938773913516,0.03136302232459335,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.6864194939799222,0.2848943918261892,1.2686633029079522,0.01661558539659615,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.7291383457630005,0.32637869328648117,1.159645697506312,0.021680213765197295,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.3573434642697526,0.7388245279733276,-1.0479203606838925,0.030614187782781827,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.5924544435565696,0.11512053426875275,2.363559030387745,0.026661241362003877,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,0.6325317045418712,0.1790935073520042,1.820424757695304,0.023233275390724315,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.5920061533541148,0.11709680090962915,2.3379105095292325,0.026017142604277902,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.31210363138657826,0.7260773288746736,-1.2180980632897023,0.016233398249762474,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.5178640230888892,0.1071167505416949,2.2733892341062405,0.027472186846166945,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.5178640230888892,0.10711675054169492,2.27338923410624,0.027472186846166945,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.7331262963216334,0.32379246440973997,1.17899234380094,0.025553274742416632,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.2870647630503267,0.8299797968500542,-1.5316999673305791,0.010248896107596984,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.16031894560802729,0.552456797005654,-1.7849167225804945,0.03745397713948814,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.7788047234259512,0.4155595135270767,0.9062065294991191,0.03413429226064774,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.2746889298890063,0.7455831368793979,-1.4405704602087348,0.01742854653866292,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.29602534228747557,0.7419418722893815,-1.3255854746873639,0.034289611586921606,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.2245799324726246,0.5840971597926984,-1.3789793493278633,0.03606995060490508,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.23261144318397553,0.6029636623542849,-1.3741489895351808,0.03434127916208046,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.7331262963216335,0.3237924644097401,1.1789923438009398,0.025553274742416646,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.1572037076430549,0.568693338583126,-1.8550156614094397,0.027769354350246207,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.315903719904865,0.7836914698726996,-1.3108008684681327,0.014436302449537303,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.21070553229597952,0.6347666376932548,-1.5909981103177337,0.018399678640763056,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.34121313670708187,0.7695144628568429,-1.1732752504574904,0.01576481106486775,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterTendency,0.2559811167841648,0.7466249308971955,-1.5443462937222625,0.009026605874276929,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.2563461730242819,0.6994559884798182,-1.4481399222722073,0.01618921890378439,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.2626160970748607,0.6838128704187997,-1.3806462277350873,0.021857366860916563,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.22697834431745706,0.6126218783230541,-1.432442231664445,0.023826006644350663,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.2977774251898748,0.712472119127362,-1.2585991730053263,0.013871381610294964,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.0036420566038731506,0.608394163060104,-7.384109157201532,0.0028198612759713373,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.7774099025624366,0.4026446343197332,0.949168376653085,0.02825617605410906,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.15720370764305497,0.5686933385831262,-1.85501566140944,0.027769354350246172,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.37956951479977263,0.7333162705736852,-0.9500714230877976,0.03681953180393942,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.1484164253163731,0.5413065717224269,-1.8667951386306627,0.03517598941125069,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceVariance,0.3208917209070743,0.7961174895223391,-1.3108947885238553,0.018645746418569684,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Id,0.7768164391213932,0.40457103875525,0.9411806834656543,0.029366364962783758,0.07157871186657733,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.19330135804220755,0.5521422080793478,-1.5141881177746919,0.04244968641294384,0.07936245720680805,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.816807641880916,0.4588567079967511,0.8319526653933511,0.045428674349411766,0.08312480838403004,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.8254966847405233,0.46413591551705213,0.8307150814903149,0.04914524394314372,0.0880518953981325,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.14301696367601782,0.5191365001716501,-1.8599276467173647,0.05231848031119902,0.09182427156659419,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.14920881243296047,0.5144336705012531,-1.7856523272088585,0.05649435037410206,0.09343296408024601,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.5009928402740542,0.12119520628905764,2.0474573497992234,0.05599080190651455,0.09343296408024601,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.14920881243296003,0.5144336705012528,-1.7856523272088618,0.056494350374102234,0.09343296408024601,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.8451284410906316,0.4904972097539634,0.7849256866962676,0.06379913949615232,0.10352313201262452,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.29232491404875366,0.6138001508376268,-1.0701962090219823,0.06712677881754593,0.106905610709425,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.2801587231412014,0.6022603448567507,-1.1041428558099393,0.08599996388956482,0.13447267080913772,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.1984574348903808,0.527801352473293,-1.411165435914239,0.08947466053521479,0.13740751439336554,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.21712656247254639,0.5885328462957065,-1.4385867041967144,0.0914233495814869,0.13793698357908551,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZonePercentage,0.2529411764705881,0.5976470588235293,-1.240491837182706,0.10079887774688298,0.1494604049350334,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.28122918301644506,0.6601332356756602,-1.2310109252060681,0.12152806034943772,0.17714259644155328,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.6083834077109384,0.2650340204224371,1.1988032478701542,0.12372160463025787,0.17733429997003627,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MCC,0.2548791148100694,0.6189926904505759,-1.2801092115353212,0.12888606814156597,0.18170822721597824,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.6859821888590275,0.3224194917232553,1.0892321541478787,0.1325502742215673,0.18386005779120626,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.1995038494117916,0.4943638106752646,-1.3091565528953857,0.1538063556250901,0.20995788228186904,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.29805778542100514,0.6251524067838644,-1.068615891576671,0.1645129355748113,0.2210642571786527,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Imc2,0.22288563574552894,0.47586395399495274,-1.0942455339887471,0.1829500534845236,0.24205699384106197,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.23286827897182324,0.5445612251676097,-1.2255801298562565,0.18781063656582028,0.2447229506766749,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.1631578591834909,0.450453958418836,-1.4651111709607212,0.19119865141016007,0.24541916449662335,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.21239614770342186,0.5110066740619804,-1.2665845340120725,0.21888578667545372,0.27682614197189737,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.11923845888243634,0.4175342198588618,-1.808044807206246,0.23263904991064346,0.2899559172799324,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.32948092170064025,0.6522692351374443,-0.9852726544421665,0.23716199447965358,0.29137045036071724,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.7321337225033755,0.47924576181427625,0.6113415038853611,0.2578776568824697,0.30489014241871304,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterProminence,0.12717980891948094,0.3847457060737229,-1.5970355791733628,0.25771517128300936,0.30489014241871304,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.44666498650342545,0.7250767860728133,-0.6989406174448226,0.26234733184866005,0.30489014241871304,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.44666498650342545,0.7250767860728133,-0.6989406174448226,0.26234733184866005,0.30489014241871304,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2813100081521874,0.4940743403435242,-0.8125672513841933,0.37197788949485566,0.42653464662076784,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Correlation,0.15137360792413435,0.33871120354947887,-1.1619420151048394,0.37709334386812354,0.42671088911392924,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.32313262245497804,0.4969693158418297,-0.6210303709336861,0.4685300662278712,0.5232933207220379,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.7689882104140677,0.6113841544055518,0.3308823184188028,0.500892687526497,0.5452755838896043,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.33688996298019824,0.5032427812770182,-0.5789771260376447,0.49983945814588004,0.5452755838896043,l_hippocampus,male_P45_nrxn,male_P45_control
