,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.5905659599069654,0.21647016349596546,1.447930013052377,0.03974279222610976,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.13856757277809909,0.6448351648351649,-2.218340739344307,0.025704063981128036,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.6268828474474664,0.09547861650098641,2.7149462889657086,0.03628050492749695,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.33088459538030957,0.713466619470509,-1.108517805489788,0.04091466600986521,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.3747814649457259,0.752844712861622,-1.006302709613348,0.04354819680730094,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.3827132729057897,0.7753400114170093,-1.0185651810307068,0.023971777750062533,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.7954803335908112,0.2729031730748133,1.5434370946217129,0.04289023425410889,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.3308862754052857,0.7134594780101313,-1.1084960396443633,0.040922284566393206,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.3308845953803095,0.713466619470509,-1.1085178054897882,0.04091466600986521,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.3771233942000931,0.7733320529477962,-1.036051362531726,0.02642278379381021,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.384655882606919,0.7812263784995379,-1.0221722914763536,0.02302565228836232,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.38131137702663137,0.7669807141497774,-1.0082207246021855,0.03304672960126653,0.31935344325354026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7608819087417027,0.2797330792116014,1.4436216937208277,0.05736301303750263,0.38830347286924854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.4428093515705037,0.09054545032719057,2.2899716338813088,0.08485162128344256,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.12255639097744361,0.4899378881987578,-1.9991531446460444,0.08729056513122027,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaEmphasis,0.4602688667698141,0.823324433480891,-0.8389841810751031,0.07676155016003278,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.796977212106146,0.4193747319516746,0.9262985347654745,0.09061960187849828,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.17592592592592593,0.5777777777777777,-1.7155466105313004,0.07627259983635326,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.7969772121061212,0.41937473195166036,0.9262985347654783,0.0906196018785043,0.41971184027938835,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.3446803370036131,0.07993362268760382,2.108384619058394,0.23259892720022668,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.33750447765328906,0.07043818009036805,2.2604771025611283,0.2302211134997592,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.44932735031604637,0.7586030187110904,-0.7555782319525238,0.24878804211218727,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.3731599630473976,0.6688963833799206,-0.8419885395110497,0.2316701392362953,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.33574355121967336,0.6276512679994142,-0.9026035103550935,0.18403117212477232,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.43404621972102586,0.7249841478035166,-0.7401007728539919,0.2549304683417383,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.4147405095993353,0.7244691872942454,-0.80471536247499,0.17861317322659165,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.4495188142096793,0.7547406857284316,-0.7475995477975841,0.2535228158369742,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.33786043885594186,0.07073913486578184,2.2558469504708825,0.22898504437993702,0.4876930698711516,l_hippocampus,male_P45_nrxn,male_P45_control
