,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glszm_SizeZoneNonUniformity,0.08333333333333333,0.8111807147101263,-3.2830577594536536,4.868221124132215e-05,0.004284034589236349,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.20662805578771426,0.8187407927046173,-1.9863706220939665,0.000407909682246231,0.011965350679222777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.8650849011554749,0.21968836764441235,1.9773832466396084,0.00040652461676112954,0.011965350679222777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.30380492562495554,0.7845755580057423,-1.3687671310168765,0.005653815899196005,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.2682448956613235,0.7554334138924308,-1.493753878937709,0.005063237812979197,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.814106986948044,0.24617134781579467,1.7255555460766132,0.005657286433225319,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.26831232356673534,0.7554388652055717,-1.493401689285787,0.005067555557371098,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.13280930008606084,0.6812456141170017,-2.3588188604961275,0.005315615824298579,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.6199545860317538,0.08490439695160583,2.868251362815297,0.005045113006939418,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.13882813312970954,0.7272540311155773,-2.3891594324753362,0.003580335014274281,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.125,0.7,-2.4854268271702415,0.002471581836109204,0.029031808110213105,l_hippocampus,male_P45_nrxn,male_P45_control
