,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.691745851065872,0.1675711606630884,2.0454682062494314,0.00605867368746899,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.2431483285906011,0.7394846647994678,-1.6046835549995135,0.007601992791382481,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.35251665231633056,0.862982197026532,-1.2916393877956083,0.008935795025602628,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.8016401504884949,0.3024057137519442,1.406469369772541,0.01097764868813008,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.31926894957716434,0.8710844831842246,-1.448040396356131,0.005320191489066789,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.7482115177906508,0.10287437868230924,2.8625624571589756,0.0020706275331214205,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.1783167927863456,0.7191068107632014,-2.0117635001760883,0.00619206552436643,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.2557432277162026,0.8333737805603189,-1.7042676742049496,0.0033843743279855076,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.36535101747188614,0.8500309525054061,-1.2182321504855274,0.008691863100918334,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.2792819485053998,0.7387097367488009,-1.4032852660895487,0.010727172198411843,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.32961038064449594,0.7614606620284462,-1.2080078282652562,0.0132256495398043,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.7143084190421449,0.16631634334315953,2.1026171811022314,0.0029869237708000794,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.32937835247737507,0.7613856808224868,-1.2088816969170608,0.01318893497835509,0.055339379026154996,l_hippocampus,male_P45_nrxn,male_P45_control
