,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_gldm_DependenceEntropy,0.23252894657891332,0.8308836856987198,-1.8372362075580126,0.008283997992591696,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.7189249383156255,0.23258644816080293,1.6280741098275733,0.01699152535006423,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.7373371924746737,0.3360347322720692,1.1337141741876096,0.023708341633955438,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.7063712509750548,0.22391252811965928,1.6574913764618036,0.01745365768271907,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.7521872021109672,0.3544371745239651,1.0855618338579693,0.02512745119621894,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.7348852027218991,0.3336417300994768,1.1392191579223832,0.02418076043346551,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.2661674398902285,0.6682099529919838,-1.3279673737964965,0.023949044679871065,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.26595884849640683,0.667843023938849,-1.3283060015637247,0.02399461194513229,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.7335190588034664,0.33123857297366827,1.1469637659829153,0.023880882371462474,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.2182992387105701,0.6329543944123828,-1.5357944553006075,0.020504510410501553,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.7319404090640411,0.3284616010022233,1.1560014749705878,0.023543479480428432,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.16904822226708216,0.5937408348652624,-1.8123984939508984,0.020999499187844446,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.7671842650103522,0.2219875776397508,1.7890941848687678,0.015769177366182184,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.7671842650103522,0.22198757763975152,1.789094184868763,0.015769177366182434,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.15536956390960133,0.7336975968939509,-2.2394816448966397,0.01644575311994878,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.7336889872176764,0.2805871030573133,1.3867199319959886,0.014715378405640623,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.25102672073196297,0.6813994593470578,-1.440659861604693,0.017434929681640957,0.1300715120745451,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.15142895838114523,0.5515122742821447,-1.8647518701366894,0.03054084070367627,0.14931077677352841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2488865186084439,0.6348824353220494,-1.35100137859759,0.036664953777688046,0.1698166280229762,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.42720998936574595,0.04509063558304496,3.2440456306744743,0.10242904101964291,0.43830223659287537,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Mean,0.7952057086948887,0.4710203536709622,0.7555387111497672,0.1045948519142089,0.43830223659287537,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_10Percentile,0.5811681528955199,0.17656689259559927,1.7187407937699193,0.11245589050337913,0.44982356201351653,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.6143696782402399,0.332398165019816,0.8861945968365393,0.13462120983792958,0.4647551295515889,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.4131440693343174,0.7871978115013907,-0.930081251742269,0.1373140155493331,0.4647551295515889,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.42426306031179456,0.8162186355868378,-0.9439965783369226,0.13546470980333727,0.4647551295515889,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.28351508963962324,0.6193237124119427,-1.1272681620686884,0.13433984794553178,0.4647551295515889,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.3887171956590991,0.7360000812314231,-0.9209849960086511,0.18658020340505088,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.2755340061503675,0.5897630446598298,-1.0979050381703708,0.1619266619908253,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0,0.3499999999999999,-inf,0.1996186662015675,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.23642183755852741,0.5720369461847981,-1.2747450304675176,0.18423190620429247,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.9943888529166021,0.662551825472175,0.5857768158538206,0.20537443191162852,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.9999999999999998,0.7027027027027026,0.5090136474878575,0.22985671476528358,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,1.0,0.65,0.6214883767462701,0.19961866620156762,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaEmphasis,6.689240888026918e-09,0.33333333716632996,-25.570547870380707,0.20584333422951945,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.34551894728286286,0.013997963463865688,4.625475973412746,0.14745275479492634,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,1.6957663247364174e-08,0.3066666238021669,-24.10823044164933,0.22198098276911712,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.3572867438575417,0.6887232276084594,-0.9468419459326576,0.22554331865120045,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.008287626156974436,0.3826586863276763,-5.528955412321657,0.1949131084809816,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.4001997819559848,0.7675850803268636,-0.9396062887042278,0.15641312658672685,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.38871719565909907,0.7360000812314231,-0.9209849960086515,0.18658020340505074,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.38870676086981226,0.735973255233292,-0.9209711396440953,0.18658460374536165,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.0,0.3169925001442312,-inf,0.21470798304263544,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.0,0.3,-inf,0.22745281805976314,0.4704044395196501,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.9622598491041061,0.6908212944203391,0.47811397833512737,0.24074652111739553,0.48149304223479106,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.0,0.23076923076923075,-inf,0.3304054817749329,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.03894746405292135,0.24868369950157226,-2.6747106464541646,0.35868778238677984,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.9910365299976929,0.7847745912164389,0.33665990477575103,0.3848138645143012,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.9759432986135063,0.779513002690212,0.3242242429578257,0.40425356989242944,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,4.8926807640948574e-08,0.26000001921325777,-22.341383240690625,0.275605418860715,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.37360699675552667,0.5525744110593734,-0.5646472810376109,0.39121292522587153,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.010549959161448436,0.20898448135039477,-4.308086496033776,0.40568454133708926,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformity,0.0,0.2,-inf,0.407083822065589,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.827816335993333,0.6121064875175535,0.4355280598781399,0.27961005763912394,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.6048845152339106,0.37438215598948965,0.6921480548021066,0.3854867891705971,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.2667484914253109,0.45176970865935007,-0.7601074286644364,0.35882556952657607,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.3354714013639032,0.628808027786355,-0.9064298529205098,0.2977531235133774,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.012049146949646705,0.21152834938674242,-4.133848112853042,0.4018924135545971,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.6051586283704644,0.38491089944506596,0.6527888369405063,0.4015059972282571,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.6014107900247634,0.3748108820742345,0.6821879117075584,0.38985869441136534,0.5162312345331354,r_amygdala,male_P45_nrxn,male_P45_control
