,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.7403226953594266,0.2142802710195541,1.7886552306973365,0.019850727533170055,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.14128348886213124,0.6278305836411615,-2.1517824344055128,0.029896508198358412,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.13049163978303124,0.5469764229882553,-2.0675212675494485,0.05383445356248079,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.2819366763148249,0.6973058512811476,-1.3064204216375308,0.05515333431565451,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7233688774797618,0.2871087816403266,1.3331340700744572,0.04402747744779469,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.19440365175450916,0.621477418160857,-1.67664665149636,0.026415499404943643,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.805381209402426,0.33649782672398826,1.2590746255138563,0.046202257673880046,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.7317449255594699,0.2654571916052911,1.4628616093832423,0.0187746855473726,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.25922653145727437,0.7204900322821557,-1.4747650878644982,0.021155869804715406,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.3782536050448827,0.7877445449216345,-1.058374026220759,0.056899742550367616,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.7192437727441763,0.2925176256210884,1.297957268313724,0.040802895689729675,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.7139046403101722,0.2908864036093197,1.2952755147195785,0.042007922153512574,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.22390154698473674,0.7349575223586738,-1.7147963741641414,0.019297160332615318,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.3782536050448828,0.7877445449216344,-1.0583740262207586,0.056899742550367664,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.2565187358486978,0.7374025971355721,-1.5233882950666973,0.02655586282976491,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.7639681170767406,0.2554260708280839,1.58060664551567,0.016508085354066587,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.16049035963760766,0.5714115210051789,-1.8320434848077052,0.05353854557859764,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.7198832915732571,0.2934458657523413,1.2946686512189989,0.03862481912383868,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.217834347662335,0.6532784476577712,-1.584466591384817,0.02837715489823557,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.11711711711711713,0.5567567567567566,-2.2490952148759193,0.05278858453468722,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.28899891998844285,0.7357100367319019,-1.3480731718101269,0.04430977979910371,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.26133611559597714,0.7042818948023288,-1.43024648232067,0.027385780223546798,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.2402715639892741,0.7175142732993123,-1.5783416147933889,0.0221594926364688,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.2999903393873173,0.7401401788212721,-1.3028824935463852,0.05221553252994545,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.6548027000336405,0.24140384589744768,1.4396116102723524,0.0469128088051792,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.23841332765513634,0.8020969906550619,-1.750311813042168,0.005012444139509896,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.2234460827158379,0.7482507024412202,-1.7435949753549158,0.00700459494568022,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.1558945052143802,0.5578220545918015,-1.8392348967602299,0.05216222201832187,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.27273567629399564,0.7154359715458105,-1.391319227543086,0.037866314794600536,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.19175084628516575,0.7222049728592239,-1.913175409208253,0.021129279373673544,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.6866746590025385,0.1627107502286241,2.077317151077735,0.00972175442495641,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.1558945052143802,0.5578220545918016,-1.83923489676023,0.05216222201832187,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.6866746590025383,0.1627107502286238,2.0773171510777373,0.00972175442495637,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.15604903145113236,0.5595796512688722,-1.8423440979228594,0.05143267465187122,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.3025162804452246,0.7451827783730637,-1.3005815474602538,0.05201678525195544,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.22371738945040673,0.7141962718130762,-1.674643202127566,0.017270703709364912,0.131767824853483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
