,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.38437704681697016,0.7462159038667338,-0.9570709204463274,0.08017914963528096,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.38432639580571654,0.7834567266561054,-1.0275215261656805,0.08912976330143435,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.4401077081358321,0.8162037988802359,-0.8910727857797957,0.1043151750847904,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.3308127676131728,0.7380994469036114,-1.1578002931509026,0.07763057963932096,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Id,0.6449930722500481,0.2363103619361592,1.4486007736931992,0.07410064069485847,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.6423878066464832,0.23285834715356907,1.4639919102592807,0.07479210825832736,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.6722751633292465,0.26807818088166985,1.3263980494504475,0.05599712126541024,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.55372366723424,0.17973338087702967,1.6233078093729814,0.08382639812800026,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.4203912661195154,0.7880424301004292,-0.9065406131875835,0.11364826825518104,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Imc1,0.3336395294368959,0.785415364347431,-1.2351655917135231,0.03653123734378883,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.33927231269233626,0.7468826786116584,-1.138437940720892,0.0695844044663794,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.2865932160938126,0.6768847665101465,-1.239905788782918,0.094923584683073,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.6299503190328571,0.23878831564648725,1.3995058105071232,0.09174186528814923,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.38132064713788516,0.7760976686603597,-1.0252335710891356,0.10085705521830084,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.5381278437386277,0.16359973262775132,1.7177785659825806,0.08578510829021105,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.7206653525376581,0.3302114494856951,1.1259393425316386,0.07770905584794009,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.28659321609381294,0.676884766510147,-1.2399057887829172,0.0949235846830731,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.4921272220795122,0.12456346211865717,1.982150373160328,0.08999594146182442,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.3489229688597518,0.7578318894872396,-1.1189692793654684,0.07194287107672726,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.5905422387014203,0.18909729816950346,1.6429115023407896,0.06447752578229214,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.4773401872631006,0.09957419973964869,2.261173916914734,0.08678490683909552,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.7323649599145954,0.3457916829081931,1.0826595976405753,0.08934445886898983,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.7014560388196336,0.30455523754586444,1.2036487758864898,0.07187352887947433,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.6965117524610525,0.24412026808842854,1.5125556162111928,0.03210356389051177,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.6558710874689931,0.24826410247468064,1.4015366072471556,0.07138230592219634,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.6321825534044708,0.24486488895294906,1.3683552997058914,0.10903335738940856,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.2703722004400022,0.6644128609033743,-1.2971331775957993,0.08896126678235594,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.1564404493837712,0.6793594715493221,-2.1185615687227712,0.06845401052370649,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.3858402617196186,0.7695113400846016,-0.9959388935160525,0.10983243302389369,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.29897376201545395,0.7044783810809276,-1.2365365551869636,0.05314194118767346,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.3986788747306145,0.7952257659325439,-0.9961373405265743,0.07870388980822517,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.7299281912688926,0.29993071686894524,1.2831252609962165,0.03817150206444201,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.6491280851127956,0.3313497948274199,0.9701481509355405,0.11463727081102727,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.6321825534044709,0.24486488895294878,1.3683552997058934,0.1090333573894082,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.196538555279145,0.7493337620392713,-1.9307960990997775,0.006105259226675669,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.37250022331392324,0.6868237474336913,-0.8826986319683526,0.10868689782384582,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.4773401872631005,0.09957419973964861,2.2611739169147347,0.08678490683909552,0.26645419702022555,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.31768628615872113,0.6880434473989883,-1.1148968553407281,0.13466528570727396,0.29436002320261434,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.37193061442593656,0.7326273856844552,-0.9780461259026958,0.13190055253454502,0.29436002320261434,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.4838558720565286,0.8287596855062878,-0.7763764551704125,0.1369116386988904,0.29436002320261434,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.36455374291534887,0.7208292157317386,-0.9835259718876315,0.14177111023644562,0.2973735483008371,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.8108130542398797,0.5268476673100395,0.6219834352135345,0.16563060936644367,0.3391483906074799,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.16066248926838012,0.4505726358669321,-1.4877265640281778,0.17878501768956567,0.3481763582855598,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.6064956063917675,0.2839776482301125,1.0947198138994259,0.17704466737271085,0.3481763582855598,r_hippocampus,male_P45_nrxn,male_P45_control
