,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_Range,0.23459698963579456,0.7389239214631379,-1.655241333499098,0.026066053126404712,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterProminence,0.1931502812350141,0.5582031179450017,-1.5310664046652964,0.0401267446668391,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.8949472467346311,0.4547038546238184,0.9768754100818839,0.02384537582576938,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Skewness,0.9235347271159714,0.39412584515114163,1.2285098524318483,0.03437871967185068,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.09144575300332924,0.49936812424067656,-2.4491156599784563,0.04199640951281002,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Minimum,0.8603137511899379,0.38219387942286015,1.1705582231683371,0.022757682640719774,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Mean,0.7447971440034489,0.3018281640801203,1.3031201083719623,0.020063571074399617,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.8949472467346595,0.45470385462384116,0.9768754100818576,0.023845375825774423,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.22197099823001132,0.6155025621556518,-1.4713936696382528,0.036379496085247646,0.41063155968080906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.8172079228022859,0.45583406432303947,0.8421944502803994,0.0775735810554504,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.20131236787528195,0.5396961423260975,-1.4227115664181957,0.1006666629009541,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.14594991113584754,0.4643713477053041,-1.6698056264253451,0.11416231271728654,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.14296499435045773,0.544191262391341,-1.9284518530710273,0.05424859865813831,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.003250056798312362,0.40016180918109506,-6.9439747439820545,0.19557128073309465,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.05699074955661271,0.439596738888973,-2.9473810112129044,0.1811824742319042,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7296747940185435,0.3880965477877673,0.9108380179139257,0.11050081733864929,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.3238081970125064,0.6729149098465819,-1.0552845803733033,0.1953454735460854,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.0149232214317212,0.40140395206598845,-4.749423916339821,0.20182989205541596,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.978074500627985,0.594356818944317,0.7186150550846594,0.2053347549762461,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.39780394479225656,0.7292206362328827,-0.8742978062003786,0.11219974297170222,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.01923425828888875,0.40573147157399436,-4.398775110484883,0.20269705391746762,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.9942787363098972,0.5928519823359714,0.7459784026152823,0.1835868937296978,0.44330124456026154,r_hippocampus,male_P45_nrxn,male_P45_control
