,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_MCC,0.821703618338981,0.327574176470681,1.3267964895911208,0.013060491350397128,0.40087181154956303,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.6980849874788577,0.24867619275879074,1.4891342897750928,0.013666084484644193,0.40087181154956303,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.6549468802278314,0.1187763926227885,2.463129778862959,0.006119164240630312,0.40087181154956303,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.3167171078896416,0.09597748328827334,1.7224269100729135,0.3132209014900521,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.2999276508388715,0.031361365803595456,3.257554236796636,0.23354868433605708,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6807999078216251,0.36598694326412823,0.8954386610031551,0.09849305575679068,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.31173389960697145,0.671277802793834,-1.1065948876218983,0.038123469689796456,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5241286767097508,0.9136597039618941,-0.801735882592787,0.04221985234580501,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.26708650709723825,0.035325031131065866,2.918544357438446,0.31684159109292803,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6875796361413696,0.944239995410413,-0.4576267752890004,0.2490821951463849,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.3516366656765997,0.13276837431981922,1.4051739753808796,0.3086621106006255,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.27128100463726157,0.04048201789848101,2.744434921582594,0.31565206331039064,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.3342070867126231,0.1429040754635474,1.2256952643693029,0.3717030834543732,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.6308857708834804,0.8162191696343036,-0.37157778163005684,0.39434192608657714,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.7259998122757627,0.9747166686767361,-0.4250137410184301,0.2807607296413679,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.440464037470853,0.8689510981002586,-0.980250756520024,0.07343489169421114,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.38000865516749105,0.18840526891054205,1.0121929664103348,0.37544256004880183,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.5802454189621535,0.8233820276608682,-0.5048987310963373,0.2748292506285422,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.375200713189944,0.031804072662721415,3.5603791437516055,0.1247048786662532,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.6302506355818536,0.8210176117623931,-0.3814875018027781,0.380712848729868,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.5882668083972269,0.7719000472018779,-0.3919434082187092,0.3921132867503527,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.5665909441888846,0.237984505884849,1.2514398942175025,0.14930619685837224,0.5676107085437795,r_hippocampus,male_P45_nrxn,male_P45_control
