,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.8028869570316941,0.21917384577082447,1.8731212265349364,0.0012638432527345997,0.11121820624064477,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.7335565374954934,0.25429427242815017,1.5284091952055052,0.028929697051289827,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.9210872271965513,0.3845568062158705,1.2601410594700233,0.00634422976688667,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.8606921270630234,0.37355905234372955,1.2041609494729326,0.0078315288122602,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.15659947738792301,0.6613167829294071,-2.078262116825164,0.030739884831491805,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.1426877644150082,0.6876493791494276,-2.2688115185545303,0.02022642850367928,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.014591967451756727,0.5978878880435612,-5.356628663498884,0.007691792265651106,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.010019206179646911,0.5004378155611798,-5.642350697168853,0.029194339842302342,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.10104393590768501,0.6393658812595759,-2.6616590172305634,0.017192930608626558,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.0058026606587323615,0.4695854430461729,-6.338529313832047,0.035728120119620274,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.010019206179646967,0.5004378155611799,-5.642350697168845,0.029194339842302366,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.007322899269591565,0.4669674792668676,-5.994763319539387,0.03736333057381185,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.006777676839284125,0.4665420094610141,-6.105072332672609,0.03791552050312408,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.04329150370431176,0.49301712975336437,-3.509481955865442,0.03430077844731017,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.09744036474138035,0.5245017457536241,-2.4283561359805796,0.039080635432771425,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.678343938910327,0.20090289971115166,1.7555185574575163,0.02797441091748832,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.8879550647596894,0.3685322287971279,1.268695879316631,0.029093018160165282,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.015054369772443038,0.4708478264834005,-4.967006651645472,0.034987380201161614,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.2282895414442816,0.6386270231517528,-1.4841088336977248,0.02564971966489845,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.8243325146062797,0.2961952521422667,1.4766778858583267,0.024163670256044437,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.2411242603550301,0.6456317438217894,-1.420934700612787,0.020535702323077613,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.25684707005754337,0.6489223677453214,-1.3371362787603933,0.02279548302778314,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.9149234296417157,0.38778784503892977,1.2383834248406766,0.02761536230794104,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.1591646982352034,0.6072288652827267,-1.931719982106442,0.03359976333692065,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.9196203442927386,0.3808570322480768,1.2717888481500417,0.02414943252299585,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9194856411812864,0.37818035239372366,1.2817526325920303,0.016885412811401268,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.8163009930369848,0.43799247127833285,0.8981951410334107,0.03255096988456483,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.022814355867662228,0.4773086689725602,-4.386908712197969,0.039671149811946714,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.22334029273880085,0.6462679613052625,-1.5328889211551515,0.013418590227478513,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.7312056187650802,0.25192195814489804,1.5373002800212447,0.028887150141477212,0.1163687061150437,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.8243356724525477,0.33731872942133007,1.289119502301886,0.04169481865477179,0.11835948521354571,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.1895368592623632,0.6786519594965779,-1.840193454246148,0.04403948091785726,0.12110857252410746,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.8134262889026942,0.3472115990858848,1.2281964738018656,0.046552274645155475,0.12413939905374793,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.791995843132159,0.3112624552720321,1.3473612899343834,0.05246392825831979,0.13190930533520404,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.15500000000000003,0.6040000000000002,-1.9622803340508415,0.051267739189790926,0.13190930533520404,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.20222794029219338,0.6569435670481208,-1.699787107890525,0.05847823337636337,0.13908336586810746,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.040432379009884084,0.4229538395603417,-3.386917220453047,0.057932713141775366,0.13908336586810746,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.7934763196255092,0.33411755076628535,1.2478314005706237,0.0638878353548594,0.14415716695455452,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.7934763196255101,0.33411755076628646,1.2478314005706206,0.06388783535485937,0.14415716695455452,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.23241590732127398,0.6682356289969595,-1.5236480913678745,0.06945835851716829,0.15280838873777025,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.19925965804035672,0.6217818114333689,-1.6417587623109053,0.07436638180825103,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.16628815330513208,0.5283676574527398,-1.667856766892689,0.08014889094022871,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.2212607614121429,0.6639294382778382,-1.5852822966573639,0.07844282246411342,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.207840265375561,0.6193585725248423,-1.5752997097074197,0.0772362145139085,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.2387956764242552,0.6685626398053323,-1.4852860216779737,0.07496648670568848,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.23589901774954922,0.6293440515142653,-1.4156795177973671,0.0745060383324845,0.15332831310304623,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.2477855619108632,0.6577685814056737,-1.4084879726064592,0.09428658320261102,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.20316416211668087,0.5860858023192187,-1.528465953982504,0.09321049164007919,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.22247323944327638,0.6329856324404787,-1.5085409440279762,0.09065262669122173,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.22239649690155538,0.6332363209562273,-1.5096099439664155,0.09051406029107065,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.6426899380409816,0.330806627526513,0.9581347473155297,0.0947209114646869,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.22239649690155558,0.6332363209562276,-1.509609943966415,0.09051406029107058,0.16029692709408552,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.04776079225069732,0.40497515087237235,-3.083934714292896,0.09964739783173568,0.16545228319231584,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.21921037973465224,0.5818622387768478,-1.4083615099391134,0.11871451421680018,0.19346068983478548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.2464602398325335,0.6191612129763305,-1.3289601746751731,0.12564442747715238,0.2010310839634438,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.6831877130204076,0.33353702485767533,1.0344351094690907,0.1445262425734962,0.22711266690120832,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.30895350551473477,0.7143896913904214,-1.2093215196372404,0.14758888177219587,0.22785651922724978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.6839694535734646,0.29012533519089273,1.237255610688046,0.1603188500048167,0.24324239311075638,r_hippocampus,male_P45_nrxn,male_P45_control
