,binWidth_0_075_vISO_male_P45_nrxn,binWidth_0_075_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.02671061970112161,0.32242168518784453,-3.5934634259988485,0.18547040521530528,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.41562513808200796,0.7504631145218085,-0.8524982499078716,0.1555307334691406,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.5365258550603176,0.1772367964581615,1.5979695402394236,0.11956658414287202,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.405537740934653,0.6961165642115074,-0.7794927209796157,0.19564252041469873,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.6371804480174407,0.3733920158296876,0.7710109191966855,0.26277732308266916,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.5406508291625727,0.1911033162507246,1.5003443390062612,0.15108728547247505,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.45155722759577593,0.7302444682634436,-0.6934706867934534,0.2590448349864527,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.47481037345072175,0.7322974664478201,-0.6250783498137303,0.2848731038470703,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.4527921312664309,0.7613452996101889,-0.7497020334096782,0.2102672113615662,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.6019590964147121,0.2124131107031495,1.5027926422016313,0.11364339076154902,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.49458718523379175,0.7502091282099259,-0.6010679572278057,0.27868894887467627,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.2241830443777315,0.7047060996946249,-1.652344534594353,0.007860137612530188,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.5061103759205318,0.18953080210380624,1.4170197208902544,0.1160901361947113,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.5378678773327124,0.2710821654074052,0.988521629664825,0.20949090417791208,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.49220016651078496,0.2567813989300428,0.9387044474609563,0.3306687907046784,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.10966004496290742,0.40638382971999115,-1.8898050271845492,0.2522529011872359,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.4906975187039717,0.21527401946407468,1.188659759109548,0.18563804777140885,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.10065504288570937,0.32911836943814093,-1.7091870973351324,0.2920540152072254,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.31721698113207547,0.5773584905660376,-0.8639973852486649,0.32485559855049057,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.49124798914807083,0.25541116762581145,0.9436298949463795,0.3288177155982146,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.22601874832369528,0.6144006223934333,-1.4427372279278685,0.12169779639653387,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.3000000810100546,0.6094375633903681,-1.022515534648285,0.2544741459391385,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.30000008101005504,0.6094375633903681,-1.0225155346482828,0.2544741459391393,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.7934699066952731,0.4619566867378405,0.7804179178851534,0.20261261230510624,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.5475905360149645,0.2374746787426576,1.2053238216432323,0.1830018973666545,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.5576159058735701,0.23983973410792517,1.2172010253654637,0.1948278439260886,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.3893560509336156,0.6377834214792263,-0.71197654952635,0.29953930878212753,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.4407607832796214,0.7325517467183997,-0.7329348079298467,0.2366937713796399,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.5239739584219116,0.17060298889109857,1.6188521891265655,0.13658281043968812,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.30758843082227116,0.7573176316536726,-1.2998972766003987,0.08893049193085108,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.5611942205315169,0.2713254548037543,1.0484757488499201,0.2239063743154155,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.27296956723429344,0.6660961274238663,-1.2869902770675472,0.09164502416664108,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.319429776595752,0.6135455841562082,-0.9416717306261809,0.22429015522917994,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.7136062207165645,0.3094772447733875,1.2052948567786057,0.051383493517560504,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.3450804656218852,0.1187848179871013,1.5385823521939161,0.3131318975295443,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.415073140974514,0.17233593832725647,1.2681419919485097,0.25597181029059374,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.36853930559576015,0.6445526864667938,-0.8064797965415768,0.26924428909953363,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.22438899045392263,0.6515521523837318,-1.5378787689935114,0.06123465102222112,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.45676483936303347,0.2284912438643687,0.9993127197979415,0.33444138238259696,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.5475905360149645,0.2374746787426576,1.2053238216432323,0.18300189736665465,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.6644514483848221,0.25443965711078664,1.3848402378817009,0.049942097526322615,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.4900682264849566,0.7697979959667796,-0.6514973025329494,0.277538810053324,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.8091956989267661,0.6043687123740199,0.4210596762311736,0.3336082677312705,0.6006294214218069,r_hippocampus,male_P45_nrxn,male_P45_control
