,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.5161281579287028,0.2137846368869254,1.271571159541579,0.14112091734902577,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.8372967003015663,0.596569343087592,0.48904909824561116,0.2920129727209714,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.17826907934648695,0.4199382529903703,-1.2361207218852908,0.2587457681159831,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.12143420747738265,0.3719894191606521,-1.6150867063704948,0.2703387168189616,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.14877335771073508,0.3831616150948329,-1.3648368478009305,0.2712610978569105,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.14968191594339408,0.3708988964397574,-1.3091260448510895,0.31729221458386153,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2256019869329915,0.42626348815014625,-0.9179657117336352,0.3765796014386661,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.3852590171454984,0.5701770784862532,-0.5655813190959323,0.33917689099842235,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.31714254938427544,0.4890404342760398,-0.624822303954309,0.38254318005385857,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.3906249999999982,0.6005555555555532,-0.6205134267428893,0.2508890180264135,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.22980670224757205,0.4235884806288411,-0.8822424817814708,0.3430312642694402,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.6272000069366117,0.328893147786215,0.9313066242675091,0.18100998502063675,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.46841847310408935,0.1849516461540033,1.3406498316235633,0.18034747031278864,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformity,0.29702194357366773,0.6469040449812736,-1.1229822144140362,0.08436444414588583,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.38309861591695515,0.6614606915833612,-0.7879396109557101,0.25900897720201804,0.6798580501729523,l_amygdala,male_P45_nrxn,male_P45_control
