,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.26850202379637644,0.5482042528506459,-1.0297805579614683,0.20549839040998963,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.41774916165326376,0.13461774445391453,1.633768343705545,0.2108502506642513,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.5544332319001866,0.323076854737441,0.7791363335849324,0.2968367433046265,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.5937655359396952,0.29734039304917026,0.9977778935377911,0.21371605045014452,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.41432201125684287,0.11371026345194309,1.86538998962065,0.1637416697720705,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.6140281176544797,0.36055341056043133,0.768091732334266,0.29934275407948274,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.3754441348753643,0.10008355587525482,1.9073933012518736,0.21547473689302066,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.3751473601208026,0.10059264328656337,1.8989326067994934,0.21636702710161082,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.42248444767040005,0.7310340885639274,-0.7910404470372572,0.2598036488748801,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.414009215331948,0.7285301875473192,-0.8153258726923209,0.2504938689440665,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.6435704911586981,0.4263708429490222,0.5939893936178489,0.3671528122826409,0.5262322391663696,l_hippocampus,male_P45_nrxn,male_P45_control
