,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_Median,0.16202378915722218,0.7619621216982291,-2.233513628436074,0.0016841041674217454,0.1482011667331136,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.16875748519833578,0.6957535776122752,-2.043624928032186,0.0178501358003682,0.5236039834774672,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.17935502498700617,0.7044241880903335,-1.9736262825798714,0.012358573058565706,0.5236039834774672,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.25085737277034703,0.6722013316524041,-1.4220260607263377,0.0286717435638584,0.6307783584048848,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.37269069766312524,0.7116343150470417,-0.9331572691823687,0.06714428977778591,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.6209751705696298,0.38745511243998043,0.6805064034949028,0.22766894373169438,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.442075040551134,0.6738971500517635,-0.6082371422116013,0.33777494530610874,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.49670779638271134,0.7635436780022795,-0.620313296121478,0.20716532807668858,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.5194676981531325,0.2499024325602596,1.0556690966603197,0.19850005988091415,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.4903835177212783,0.1967596399048615,1.31747616956446,0.16777843930217204,0.7512283590212708,l_hippocampus,male_P45_nrxn,male_P45_control
