,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glszm_GrayLevelVariance,0.2600683453770014,0.7538103596685131,-1.5353108121005858,0.018897886085511812,0.4581675806724847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.1157759102070357,0.6176933205789655,-2.4155556309402555,0.017865639278853034,0.4581675806724847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.14822756074441312,0.6168593029450966,-2.0571277475558665,0.02603224890184572,0.4581675806724847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.12254591308736247,0.6361868444970529,-2.3761281681079254,0.016570799488285975,0.4581675806724847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.20526946862667095,0.6594861275868367,-1.6838232526314054,0.02391505322717879,0.4581675806724847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.2688049423235809,0.6861933631045034,-1.3520555079876497,0.032202741277524045,0.460820939445864,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.24677521617216058,0.7148274544383725,-1.5343975343816532,0.04189281267689673,0.460820939445864,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.7111250667489237,0.3239854037260767,1.1341744934318179,0.040233218926942156,0.460820939445864,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.2812041742323572,0.7448085440695309,-1.405251612737074,0.048762965389459005,0.47679343936359914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.32142890146287445,0.7991748221484343,-1.3140114764198065,0.05566634963241996,0.4898638767652957,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.7988284672642494,0.401831255953461,0.9912959592556103,0.09383415759946163,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.647596660883468,0.20773125582569146,1.6403772424377883,0.08331485691604139,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.6769585856347586,0.3033548943270289,1.1580609886001165,0.0689055681183082,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.34513705414066903,0.7852488025405688,-1.1859804670766165,0.10549522092073295,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.3640823527972765,0.8044285684656453,-1.1436995038768358,0.07645861829090186,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.762490842862191,0.4002112174202283,0.9299584068639667,0.1019862291393866,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.2011969007783967,0.6284019961325391,-1.6430796812403838,0.0876712081331763,0.5460929082955588,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.7388905409329521,0.4008890146817544,0.8821577749695515,0.12512522679388466,0.5795273662032553,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.3933696760859754,0.777534011909936,-0.9830200368353406,0.12313299602428865,0.5795273662032553,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.8300764938451701,0.47972578534580385,0.7910343041875981,0.13950488090477012,0.6138214759809886,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.3880468438540882,0.673898609368085,-0.7963007279743789,0.32947196216877567,0.9213326841063039,l_hippocampus,male_P45_nrxn,male_P45_control
