,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_RunPercentage,0.7753996157889014,0.2783428177896982,1.4780771630856846,0.013085853558294655,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.2364945999869189,0.7632659137517155,-1.6903785222093146,0.005519254051154594,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.7928546603048212,0.33092445023931505,1.2605545383791854,0.014431551663359679,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.6618802612667044,0.21559773515336564,1.6182282243816506,0.020167227966378043,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.3141235133329052,0.7626833976879009,-1.2797523568864326,0.02095806541564655,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.2937059842276837,0.7555885274999614,-1.3632281359733733,0.018837752594983766,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.11157014384651232,0.6226892061862983,-2.4805612576400717,0.021927275895658186,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.690382962128758,0.24072730977726237,1.5199970404347989,0.017471417514877755,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.15613277589464974,0.7182752983036385,-2.2017634773797266,0.007542134123169064,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.23437345998506887,0.7534211487851137,-1.6846473198842362,0.008768498537998708,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.25491852068683485,0.756935103732458,-1.5701334214130183,0.019794529178846682,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.5979279782078628,0.14243624157974805,2.0696554455958736,0.017824384400650962,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.6537562733682963,0.2084404217929201,1.649117806084431,0.020408999134811697,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.697062623088874,0.19074358338863168,1.8696537458973195,0.0058991751517698384,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.6970626230888745,0.19074358338863168,1.8696537458973204,0.005899175151769849,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.30224823001773804,0.7656845089267978,-1.3410161784829868,0.019016067608861757,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.1476503583955679,0.6844210518071205,-2.2126992773667276,0.01163087632828756,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.6593137876954895,0.17023340919061533,1.9534510503836382,0.00919166753035162,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.6297604360067584,0.12961373743709076,2.2805844906429114,0.010842469865845115,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.23437345998506903,0.7534211487851138,-1.6846473198842353,0.008768498537998767,0.09648001394089602,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.11722535598741934,0.5928906095164066,-2.3384812866077174,0.026682579912425335,0.11014970130572994,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.658820922333375,0.24748596378361026,1.4125396670307349,0.027537425326432486,0.11014970130572994,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.6654195369379705,0.26050429617242854,1.352957059576984,0.03089566900820459,0.11488983146706105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.6429430423681809,0.23562893486462855,1.4481742256726682,0.03133359040010756,0.11488983146706105,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.7109282394928853,0.2951299733622495,1.2683534946183601,0.05209169720007792,0.17631035975410986,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.18108948085345522,0.6106672587749861,-1.7536837511645946,0.05059421958791485,0.17631035975410986,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.7014872235262675,0.3306450946088669,1.0851333295204162,0.05446851065456921,0.17752699768896632,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.5951823421242565,0.23313573222317902,1.3521615849424735,0.05739245201578272,0.18037627776388854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.4240724491627835,0.7781611246411467,-0.8757581499856085,0.06899707934546696,0.2093704476690032,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.5282272342081457,0.22488904145874594,1.231945323299224,0.10798896282888555,0.3167676242980643,l_hippocampus,male_P45_nrxn,male_P45_control
