,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.43906979421210696,0.7314847134788784,-0.7363774275953479,0.16500146654897957,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.33882653641727484,0.22946838309792,0.5622514808343398,0.62634536407576,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.45789430059731906,0.636005516381303,-0.4740246708286468,0.4895813615371106,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.38727454909820125,0.5266533066132297,-0.44349686151011064,0.5845383090171414,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.3700082765439774,0.5501163593930322,-0.5721792644916378,0.455332140459212,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.30280643133616403,0.49540827269157256,-0.7102221127742067,0.40790020984227005,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.4178729710505493,0.2304489975973148,0.8586169526863725,0.42715470087116003,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.15519303682748964,0.33689810057787506,-1.1182484662055219,0.40693010804946317,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.38509787369063986,0.2580505349208785,0.5775715361163329,0.5534546415634545,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.6146873124190693,0.8271828600537148,-0.42835358493855274,0.36156073417609647,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.3854510903611903,0.28004235955005985,0.4609027416218696,0.6245764260330449,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.40340069377949206,0.25595673825955034,0.6563135782446562,0.4914447488846069,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.3570691625422704,0.5407786801496911,-0.5988347311589891,0.5110802100651852,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.48245977797847583,0.711752748780512,-0.5609674877964376,0.3240478149701469,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.2690990852900258,0.39815990761348574,-0.5652104703336812,0.5887101557662104,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.47168282797756544,0.2784218401839638,0.7605446946199632,0.38637032613141176,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.43075261819507515,0.3187058350886911,0.4346341322229869,0.5971634749296868,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.79579481873105,0.5738618572674831,0.47169301960733934,0.4314792624512853,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.28840542173875494,0.4587351331795776,-0.6695631173528249,0.4425638366681882,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.37795413446219117,0.22176211715153632,0.7691982349687526,0.4549708541347133,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.5004040077569494,0.30555914673561874,0.7116416762462342,0.4031401080306085,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5278448936421873,0.29387069070438265,0.8449325798097402,0.3315542375820517,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.6772563911303995,0.4725164440225143,0.519337565540782,0.3612432345285556,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.38304374687621356,0.2605347920253232,0.556033125665579,0.569668008770508,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.5968617346219514,0.7158910418069894,-0.26234326267571895,0.582419207117846,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.6642995892995893,0.4716280016280018,0.494184645527704,0.45627046467665777,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.477307021552588,0.23639346640350833,1.0137273977755588,0.25092695245083885,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.43720807593792355,0.6419822756721958,-0.5542134167325717,0.31527145354737784,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.5994453651918725,0.3250127056065509,0.8831321511284481,0.17796038612239765,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.3823529411764706,0.23529411764705882,0.7004397181410924,0.4845076230133566,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.6290682694548629,0.4912143332696484,0.3568639355767905,0.6160238702784431,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.45241438217121765,0.32914360642217855,0.45892761923220665,0.6174058520851453,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.351060582116998,0.18428150021070372,0.9298087683347029,0.44213404366302045,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.43720807593792377,0.6419822756721958,-0.5542134167325711,0.31527145354737807,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.5647862364357783,0.7196119460125224,-0.3495142051712282,0.46799001950890207,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.6113813231425715,0.7354291208273225,-0.2665138235956728,0.5628001777872633,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.3537740116176735,0.580249601463042,-0.7138455557153515,0.3378504071086797,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.3447169496787357,0.5133752282339359,-0.5746014460513021,0.5606815719052476,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.4506263091116861,0.16020995369146415,1.4919677617272866,0.17605796393832449,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.3570691625422775,0.540778680149694,-0.5988347311589682,0.5110802100651892,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.4506174412207672,0.1602140743753849,1.491902264206811,0.1760850883516262,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.6382575143142848,0.30763097804537887,1.052937829669278,0.1292901900841038,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.4772557659882163,0.17911217341252178,1.4138992338664305,0.16591905560009332,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.3613029080860523,0.24718572360669877,0.5476134451704868,0.6003933768805108,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.6685924282924339,0.3600848420551991,0.8927901468818795,0.2027896207105932,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.5623722175829081,0.25208994304230525,1.1575867598795684,0.16127715247609092,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.12360641465595207,0.44569372352741776,-1.8502990293469457,0.246160185885486,0.8890063232043045,r_amygdala,male_P45_nrxn,male_P45_control
