,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glrlm_RunPercentage,0.9303589096243731,0.45100474224693815,1.0446447766441944,0.014983714055711587,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.04807990516527866,0.5318008321391805,-3.467380079129458,0.014922556405654281,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.7759297890113932,0.24173499077161353,1.6824997981044718,0.008627190156748366,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Id,0.08656064789566376,0.5576784574141556,-2.687650339413859,0.01647125550067204,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.09773799948564621,0.5637601633235978,-2.528090056412821,0.017620955805850602,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.8427595232977206,0.39827287962465874,1.081363782165242,0.01377154614522295,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.24055873758552077,0.6914312345315227,-1.523196574988794,0.007394683857215285,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.8783220396377,0.3995908339252241,1.1362265155644375,0.015183127890224989,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.018586068506385472,0.7315637161937639,-5.298689986931311,0.0070785331982865,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.699462089552239,0.1571783880597016,2.1538430047843224,0.005363181120473041,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.151272739541765,0.6234398535481176,-2.043098355811981,0.010383198651802154,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.9638440601453533,0.4701975645083961,1.035532686162352,0.01273859131260552,0.12922034257623777,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.877202689624905,0.4232628041494828,1.0513565236823381,0.02019026196690184,0.13667254254518169,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.8332543956753562,0.3845608976525785,1.1155449468487153,0.032975131662873414,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.07354646637026224,0.5166291047286796,-2.812400988951988,0.027912157154187253,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.036086269470392396,0.4573124299672807,-3.6636582198098955,0.037390790692366754,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.7903562157335063,0.3758944743615312,1.072175318551164,0.034894072017176765,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.06200264892899229,0.4723675495920623,-2.9295081008331376,0.036505558948638,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.11429398555698506,0.5394919448825378,-2.238851931860679,0.035611013158296526,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.11429398555698522,0.539491944882538,-2.238851931860678,0.035611013158296546,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.03630544572837488,0.6536629016549542,-4.170288949682854,0.025354884126218336,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.7637577940632654,0.2445821987137328,1.6427957927104169,0.030596850404268933,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.788550483132326,0.3847704222312792,1.0352052178936086,0.024844305034841297,0.1430604165620989,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.8348967317006386,0.41805000808672893,0.9979222307356577,0.04795564232492437,0.1623636260499068,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.9161109414494933,0.39616727475341174,1.2094126080482346,0.047971071332927016,0.1623636260499068,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.8644207004597924,0.3708936609691755,1.2207280105138658,0.04589094421285339,0.1623636260499068,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.8650613906611471,0.46184630261990217,0.905389701432518,0.05530486203962932,0.16585809385973113,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.8072267721376205,0.3712740504224117,1.1204895390799163,0.05113913317946361,0.16585809385973113,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.8256576873746161,0.43857887753,0.9127074412550331,0.05452810382920863,0.16585809385973113,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.1748279738894536,0.6181038229179766,-1.8219131418331826,0.05654253199763561,0.16585809385973113,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.836438903744946,0.4320088507827304,0.9531992949992306,0.0605971538826687,0.17201772715080146,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.8119565318938888,0.4206346420745845,0.9488348242321653,0.06773287573638286,0.18626540827505284,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.7229965702518577,0.31235806663999915,1.2107880153905617,0.07564201522617639,0.20171204060313705,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.5279660745555925,0.1881463220713746,1.4885901419636098,0.08002902958959951,0.20713395893778697,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.5475154878896262,0.2203963410595728,1.3127995026402253,0.08524783612497686,0.21433741654279898,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.6413365407073606,0.26263713776048087,1.2880106758137182,0.08898262536927652,0.21751308423600926,r_hippocampus,male_P45_nrxn,male_P45_control
