,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.2626799068861687,0.6297454729926747,-1.2614629970442734,0.052225746205048454,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.4434729956578627,0.8227803247876366,-0.891661037628576,0.09081735658027082,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.5912028173437549,0.22223330126783977,1.4115781263515716,0.09547985712201724,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.9936653677004977,0.40140043329780006,1.3077179094971492,0.06882775105990158,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.5819992277886814,0.1971303583180859,1.5618672686256037,0.08894004421308695,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.5815587680972065,0.21869527151202028,1.411002959625352,0.0958700223667407,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6998374999620358,0.2647565447064051,1.402353624081845,0.06312075882253719,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.9967020791178758,0.3995508104754788,1.3187833570142038,0.06804313462656744,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.9681553109086267,0.40307526320368836,1.2641892548900475,0.07606628013298773,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.019763161535382906,0.6041373558353195,-4.933990935936729,0.06643934303336275,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.010345999130259381,0.5964175715447995,-5.849177882177246,0.06896159056603016,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.9936653677004981,0.40140043329780023,1.307717909497149,0.0688277510599016,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.48937046109972826,0.875093414942939,-0.8385100092514101,0.08184615486644907,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.02477114022928098,0.5946259299005238,-4.585250193059655,0.0699837035321636,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.8402569450817803,0.3108151226565393,1.4347738625386184,0.050025866747088484,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.11632478220985137,0.5146728593240821,-2.145497219703158,0.08691768881412296,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.02518362241644563,0.6015561341325742,-4.57814164799267,0.06378969935985601,0.22095491992956254,r_hippocampus,male_P45_nrxn,male_P45_control
