,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.27902379467483596,0.7693535032081609,-1.4632584834015352,0.012987070444131913,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.6210458787735488,0.27247037874753766,1.1886004514228703,0.1020732951298968,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.47144878483684316,0.7932482265160491,-0.750671336374691,0.11824809900452798,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.24592008362246545,0.6484646870798884,-1.3988384522178383,0.059567472567779584,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.6223404255319149,0.23971631205673755,1.3763758789097391,0.061092025321626685,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaEmphasis,0.39957933138395485,0.7758026586583396,-0.9572077596565207,0.08636044808991229,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.3976616331536915,0.7584389055465658,-0.9314915958828591,0.0802690886776105,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.2441571783245206,0.6469305504388471,-1.4058006492796649,0.05959446783681091,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.6292790151062533,0.20135301076214826,1.6439727888457303,0.02864997436760809,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.5407981784576705,0.20675116341472338,1.3871948446284357,0.1094703371028879,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.536176087167906,0.18993874959252216,1.497172617069157,0.09059912500987889,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.48445209845511816,0.8241057435355927,-0.7664754436927484,0.0959752847172498,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.5342267600840749,0.21464233686304235,1.3155175774088126,0.10911703809952311,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.5604930832591462,0.20538182462805193,1.4483880543712147,0.0747225168108655,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.530145516135182,0.22345880759163972,1.2463795004114975,0.11520310126291722,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.6270860514722607,0.27727927500364374,1.1773236420620619,0.0700102021008743,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.44932114498944964,0.7882021806325247,-0.8108187843441785,0.10471886891952245,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.62567408708648,0.27860825795854066,1.1671733345224957,0.07250131094617414,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.24356982410349914,0.783508656716611,-1.6856138059823387,0.01015370280918476,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.47144878483684094,0.7932482265160481,-0.7506713363746962,0.1182480990045259,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.17872595896042956,0.7415537233159575,-2.052802022240757,0.013941308675395503,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.6945855471095572,0.287895967803822,1.2706048084979964,0.04007089470506136,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.10094987244571377,0.5486434227226737,-2.442229721928919,0.03553518729942202,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.5583800390377214,0.22670866682040208,1.3004078242649002,0.10881911437145168,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7398986423428783,0.29661698804084696,1.3187264244197032,0.029635665159492355,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.7556965832927376,0.307505396857272,1.297195369378812,0.030326411479119103,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.6310529480383943,0.27678030064555514,1.1890197932349404,0.07832387308159212,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.14743414138588476,0.5489430808980014,-1.8965859174388957,0.11281839207072773,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.663292576017923,0.31130799023316874,1.0913027719968795,0.06891905353902944,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.6256740870864801,0.2786082579585405,1.1671733345224968,0.07250131094617397,0.3468610904132821,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.5407568925347361,0.24524279265691326,1.1407694107462256,0.12660108947030843,0.34815299604334815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.5170614729766226,0.21361659782956402,1.2753120638926094,0.12588053766035273,0.34815299604334815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.36191575573117607,0.6855938897964879,-0.9217003360831333,0.14185376608720765,0.35981055641303117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.6917024135276089,0.3455767004400684,1.0011455393357074,0.1473328563259331,0.35981055641303117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.554532203384894,0.26279397114690034,1.077339065900627,0.15128398394638812,0.35981055641303117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.45297089336540175,0.7404571893250136,-0.7089979765579864,0.13962530061052805,0.35981055641303117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.5050449844892824,0.20457743471593526,1.3037648729891218,0.14509631131835865,0.35981055641303117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.5390790746560573,0.2542550588156951,1.0842204306793284,0.1566229794151965,0.3627058470667709,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.4484303399067153,0.7226537256846648,-0.6884206245788494,0.1631734562145584,0.36818626017643946,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.5752800137292207,0.3159923068359941,0.8643749143445667,0.19261632158269598,0.42375590748193115,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.7999415288332604,0.4494911552214299,0.8316018234127167,0.20975870350593895,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.5609600107715109,0.31256227278847426,0.8437542777206054,0.2225638672296822,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.5710632123474517,0.32436053345748145,0.8160521593508466,0.2207170418883824,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.43624971868339224,0.6897124227587916,-0.6608407511228319,0.21543135762388727,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.7351311313781501,0.4235064943546142,0.7956175252132732,0.22079785150626288,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.5835889186604959,0.3319076940866584,0.8141704157421297,0.20650549726494566,0.4257743547002616,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.49857227542315163,0.7279365885653508,-0.5460101212299594,0.2510586638035183,0.4700672854193535,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.3282268213835906,0.5973669356174949,-0.8639242514523989,0.27480033761706274,0.4864715733116799,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.45854790910009546,0.6919712800216573,-0.5936396861319482,0.2717612561682705,0.4864715733116799,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.12044189236151166,0.36334039909434673,-1.5929845043360322,0.27640430301799995,0.4864715733116799,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.4332486921155201,0.6565640221069383,-0.599740302171087,0.30424013388062965,0.5148679188749117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.6493984516929943,0.4166159630234064,0.6403858263060335,0.29904366303602936,0.5148679188749117,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.349286404280722,0.5452706737589184,-0.6425620772423759,0.3482614717388745,0.5782454625098293,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.575346255400754,0.3759889613062173,0.6137401551412935,0.36253636374348835,0.5908000001745736,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterProminence,0.5302924815464738,0.35757263724777844,0.5685519536842699,0.38003792116770735,0.6080606738683317,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5476836758393807,0.3666607803835368,0.5788969228735292,0.4338230818001245,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.14972810955999896,0.3234248202816815,-1.11108530384406,0.43962307641747,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.4453844138742409,0.6145948746376053,-0.4645846635209063,0.43961066338143173,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.44538441387424177,0.6145948746376082,-0.4645846635209101,0.4396106633814262,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.14522820330569663,0.3201322613179835,-1.1403464199488018,0.43716675764581736,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.45402391569243167,0.6484448935915738,-0.5142156825638982,0.40745546404710276,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.687774518987151,0.5089159911746352,0.4345081427332475,0.4037049504407764,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.1492516080692911,0.32551827499888686,-1.12499206486593,0.43134700175917173,0.6140766781704343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.15203350314905403,0.3164843715169861,-1.0577449780100834,0.46992257176010466,0.6265634290134728,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.15116294669414965,0.31762549393223116,-1.0712221666296151,0.46452292594965494,0.6265634290134728,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.3734919156503412,0.5491763018623035,-0.55619235567078,0.46266420645023865,0.6265634290134728,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.15831632959356387,0.3158440113341977,-0.9964021473387504,0.48881673530674796,0.642027950850654,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.14433645341924753,0.29363124864072976,-1.0245697989840734,0.5172942393274393,0.6694396038355097,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.6755500698725738,0.5453337992264696,0.3089231270365196,0.5481799430153687,0.6991280432659774,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.664915156675076,0.5325957676253535,0.32012930020236213,0.5781678815906939,0.7066496330552925,r_hippocampus,male_P45_nrxn,male_P45_control
