,binWidth_0_1_NDI_male_P45_nrxn,binWidth_0_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.3632983548006775,0.746151544599432,-1.0383138414505324,0.06560525951400602,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.38634055413262225,0.5239206600088362,-0.4394752285129738,0.5395958272944108,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.5976506782198301,0.5058723890892489,0.2405289898094615,0.6452604429485367,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.9133285058326441,0.5535785571231903,0.7223458006102228,0.09867069099728977,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.45828961242144656,0.3304469931948118,0.47184071755982926,0.6068606312663942,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.32646112623114026,0.45071408838289634,-0.4653013351237795,0.563290269826821,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.7898928576988586,0.5713598069326494,0.46725742561356864,0.38776858516414675,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.34192573678428584,0.47596069940975116,-0.47715943490174006,0.5776218551477955,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.11094067015886794,0.4622788339831031,-2.0589749629975316,0.1368419939649377,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.6775559353635829,0.5250466128029856,0.36789454386924836,0.5655544796379514,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6384441567518504,0.5149743020397294,0.31005999468628614,0.6382668586817353,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6676675508837207,0.5015314534933232,0.41278974378769284,0.46507625590326074,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.4721146376134179,0.35569142290957095,0.4085110275914094,0.6361860167907514,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.32707925740733185,0.5034559320286703,-0.6222252332889344,0.4174568781669993,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.228994275178227,0.4676671018058352,-1.0301704138568397,0.3769351712354712,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.32848736692594105,0.46671987114958596,-0.5067190050754132,0.520045506069499,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.6839361104361954,0.523956816847315,0.38441364923578814,0.4098764914786607,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.708194536990852,0.5383563861205694,0.39558417723668476,0.5221364276533393,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.3185831969742483,0.6730530089561753,-1.0790499576332206,0.15221360107904883,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.4777627086333498,0.6330809748346622,-0.4060957909209967,0.5439877248513221,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.6776981714606577,0.33666888608648116,1.0093124809902034,0.08858912109287341,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.854696403263665,0.4417751294920551,0.9520998493170463,0.07631407746925409,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.48016384917802973,0.36607218521419094,0.39139862990386076,0.6424424057447503,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5118364964628291,0.4076925675244862,0.32820136642008196,0.6613735232729787,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.34068135603155053,0.49564736473528626,-0.5408910626227007,0.4771213146191504,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.3257191080852034,0.4659022767898474,-0.5163990237645372,0.5133067330505783,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.6592623182210703,0.503664132537428,0.38839062695993254,0.4180841795736898,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.3653137676898892,0.5356662247916395,-0.552198207083267,0.37227358970407626,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.646019051908477,0.2908512314941589,1.1512952997261088,0.09475535437573405,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.365385131055425,0.7147059285854965,-0.967931829402054,0.08710314947810874,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.36538513105542436,0.7147059285854966,-0.9679318294020571,0.08710314947810814,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6339418284152476,0.38667573137032535,0.7132262417678512,0.19510277282012617,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.11209190998357621,0.4626133846908947,-2.0451248495736856,0.13705951767885596,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.8443877551020409,0.4448979591836732,0.9244311769176546,0.09608352235728332,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.38593332851403095,0.6014731366216821,-0.6401486664404926,0.3471906306228344,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.4279451710573252,0.311199051617285,0.4595883046292716,0.6572508940125756,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.5727192000520681,0.44031191573797085,0.37930208264867366,0.598068693934506,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.5589038192149887,0.4277145779252667,0.38595165368742085,0.5783521108502309,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.3898128299707182,0.5815249837285128,-0.5770595996948568,0.33307572051322915,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.6495836033960446,0.4641084279739546,0.4850533205290214,0.3212067175943473,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.33961152366896163,0.5249558190943702,-0.6283105958332691,0.32567507102059523,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.3700763371585966,0.5017036772378939,-0.4390126203356249,0.5490085740811249,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.6851300966696805,0.4964764349855386,0.46465271924002416,0.33215170818015194,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.32780134576412223,0.46774854991676157,-0.512911403597813,0.5140876288740746,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.67520604695343,0.45881259153558973,0.5574228396183544,0.2596477446656984,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.3653137676898903,0.5356662247916402,-0.5521982070832644,0.37227358970407803,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.6759148728314293,0.46681341216622574,0.5339955475308685,0.2773018435235205,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.34646762148172866,0.5101001614797983,-0.5580600232908087,0.4088305297130267,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.7071886761233348,0.49892715886196404,0.5032659698228459,0.28250820645598934,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6740658313105681,0.3313029109593407,1.0247386166869943,0.10057329296777572,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.6966742243217969,0.5755095305901692,0.27564436722167573,0.5950492662428808,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.17220129963934078,0.6780122026833568,-1.9772152077390133,0.047588716221737486,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.19493638899215682,0.5391042030140876,-1.4675607320653876,0.12777253261367194,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6848499163000213,0.40595927448268243,0.7544528539052552,0.15730043038008687,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.2442615138866567,0.5342872903566895,-1.1291891298022876,0.17771025160644602,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.669982665636422,0.31815387301048087,1.0743990852326044,0.09388458758517482,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.6706564929641594,0.4965997632051023,0.43349044053745006,0.3585501846877216,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.6759148728314294,0.46681341216622607,0.5339955475308676,0.27730184352352105,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.6876548289821505,0.5016912676963793,0.45488475306682963,0.3684856084302246,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.3093048956117853,0.4572696876431353,-0.5640156179437052,0.48607633798293415,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.6511568270257023,0.4898371185173113,0.41070294773609173,0.4076268494109824,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.7120652291292808,0.6089526869100992,0.22567926503838695,0.6704227485901191,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.4132106426967176,0.22369035987971553,0.8853743292807587,0.45866355972143347,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.3346967021552043,0.4234986811753195,-0.33950314095930056,0.6699034901500237,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.6635214683417179,0.45782866843980763,0.5353353401843828,0.3340902248257283,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.3400754626647424,0.5120566622687239,-0.5904485467026894,0.5332934048841161,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.6770045548565409,0.4277896294975184,0.6622640311959573,0.17939098243015797,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.6628915160920118,0.4172488171344714,0.6678648292131831,0.18526303302992728,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.3035968446109587,0.4912274137623676,-0.6942342785564976,0.44687270125347667,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6757621890559362,0.46680190279569533,0.533705187771032,0.26668596245628906,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.32014914086073354,0.5170323449211978,-0.6915103982181471,0.39709294705041265,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.3409935484409491,0.5548637392708715,-0.7023890810688225,0.2647699575758128,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.3700763371585959,0.5017036772378934,-0.4390126203356266,0.5490085740811239,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.39015797227916593,0.5375835832125191,-0.4624307020456663,0.4960905930074937,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.6473840559907719,0.42813676224323755,0.5965501159608585,0.2565264548695365,0.7866293583457397,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.430329173292738,0.5237523964531209,-0.28344429176120495,0.6848674437098512,0.7930044085061435,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.4967650601341276,0.4077362994209947,0.2849273045388704,0.7113453150918128,0.8052362084612317,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.4950186999678757,0.4077127178243874,0.2799300662199307,0.7137320938633644,0.8052362084612317,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.4023217303526272,0.47768779702156133,-0.24771835883993204,0.7575530636967136,0.8230206124112445,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.4044705849770054,0.3218405111152743,0.3296888526074944,0.7533711616384328,0.8230206124112445,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.5281612613641034,0.4481812871905134,0.23689607555324307,0.7413209788074424,0.8230206124112445,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.45213136596188785,0.5140115169101994,-0.18505867869910897,0.8079922087556018,0.8671135898840606,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.6161408356386531,0.6655916838297429,-0.11137725242573243,0.8458332081756951,0.8861109799935852,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.45641053158909384,0.5065797387794172,-0.15045729407665742,0.8447790938209363,0.8861109799935852,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.3834651689089943,0.4319890667863481,-0.17189925955839686,0.8621589829709652,0.8925881235464109,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.5663678369761183,0.6060310772738028,-0.0976524373400368,0.8740103865325384,0.8943362094751556,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.38480142016461005,0.36526657325363543,0.07516438962100754,0.9323582240923598,0.9323582240923598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.3759850201717057,0.35443375892477713,0.08515916031808256,0.9245732283061058,0.9323582240923598,r_hippocampus,male_P45_nrxn,male_P45_control
