,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glrlm_GrayLevelVariance,0.5434596104453981,0.10330347746001509,2.395283999270713,0.06335271112032986,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_MCC,0.579581459621916,0.3022573027310635,0.9392342485593311,0.26064890630207116,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.5086443881938134,0.24479798801742234,1.0550656674689642,0.27960815314170917,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.5151532845122828,0.1783192656063339,1.5305391918128493,0.16677731458026268,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.3096380306391915,0.7279161303097548,-1.2331895559288462,0.05696086755348349,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.4078513949922391,0.8000791200347603,-0.9720990889408501,0.07716433254181544,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6170047482182703,0.1349907388649235,2.192421158255354,0.04137445917618658,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.5837378625631432,0.18102876710212268,1.6891016749647674,0.06427679314140466,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.21671043352233704,0.5052247634625875,-1.221156740540491,0.23498135992703809,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.6146338329141154,0.1987432244754423,1.628821506102014,0.05858052321380226,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.5560918509135007,0.26227810935107154,1.0842257954917287,0.26852160700355393,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.572423539103208,0.24560637850945782,1.2207349709023896,0.18663503467083575,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.5596658688669645,0.09810979960611332,2.512096616883966,0.048591478454073085,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.3173220162248603,0.723176793139268,-1.1884007613428558,0.054798510406063004,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.624321784803036,0.23619944926162698,1.4022842065682652,0.05424969126908054,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.6380175435474978,0.09159628924334826,2.800235036239185,0.021893364080061616,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.5099550940827912,0.7452709639618248,-0.5473948417980321,0.2468971504116571,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.4434464306545217,0.750687388802628,-0.7594524124141222,0.1748692217101952,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaHighGrayLevelEmphasis,0.5587992016068494,0.17123843511718867,1.7063234030081658,0.05031782934323516,0.49644712904752447,l_amygdala,male_P45_nrxn,male_P45_control
