,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glcm_InverseVariance,0.26674114880406563,0.700743272209786,-1.3934455888004245,0.01671956234640138,0.6298751932196207,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.8393051031487495,0.35085052479188905,1.2583388323669784,0.021473017950668884,0.6298751932196207,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.8167377533287683,0.3728839170974836,1.1311463437688738,0.014894108762115972,0.6298751932196207,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.8186579424308791,0.3532374963417245,1.2126222865761058,0.045778716051184644,0.6905971341004746,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.8113373923423799,0.26521129901157886,1.6131597387760757,0.037071311538429894,0.6905971341004746,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.1993243243243228,0.6243243243243228,-1.6471778971668616,0.04708616823412327,0.6905971341004746,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.993263804353784,0.5961141420754015,0.7365883391082763,0.19207777397994616,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.8107484758034857,0.4752579923818587,0.7705435176520465,0.11421902120522238,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.9829123245697945,0.5971523779162435,0.718963617312258,0.20548484258412858,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.184257555111488,0.44541875522340746,-1.273438531536925,0.22426615836132094,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.8804020833286685,0.5578914107068471,0.6581782193053217,0.10447491211982324,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterShade,0.23746401116383478,0.515071684100642,-1.1170643480501241,0.2279663024583208,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.45,0.1655026455026455,1.443070723243395,0.21924878013074256,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.9946381993997084,0.5941824323757023,0.743265888353416,0.1860305232012211,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.9956324773445799,0.5963121468970431,0.7395455667236169,0.1875923967089467,0.7164655220118654,l_amygdala,male_P45_nrxn,male_P45_control
