,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_Mean,0.6566433333920626,0.07568956948791467,3.1169435534744334,0.0015862046374293412,0.13958600809378202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.6738972144391191,0.4616120678756957,0.5458476217341187,0.4274501220856024,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.31566658851071966,0.6407271102504632,-1.021308466891637,0.20078286569546094,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.44256080209333293,0.5709516033395399,-0.367492784526216,0.5388480832862084,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.29883156966490304,0.4290412057078724,-0.5217836450133359,0.5617413572730678,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.6975700814033479,0.5734102303285507,0.28277052040855105,0.6373146094126388,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.40313242280285044,0.4167563259457019,-0.04795027830570353,0.9544314151823526,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.41692162861849846,0.23353516335394425,0.836136424029569,0.38268442967560834,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.49372706914628584,0.23848694842366647,1.0498034300206573,0.1724810210017832,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.3339935035268819,0.5229783538257576,-0.6469311930237619,0.29958283616471976,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.4297315544626521,0.28356920721500456,0.5997348368589454,0.5036328089236081,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.40729668191074886,0.22967447508688385,0.8264895298502913,0.4109293480493351,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.4994571118349609,0.5124864277958722,-0.037152998417463966,0.9556628952645467,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.4207327449691076,0.30379077484188793,0.4698260447142693,0.6025451775630754,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.43795241471065516,0.3771741404037351,0.21554335755270354,0.794939708576571,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6143293068125453,0.5098883600469722,0.2688308053844018,0.6582904970734678,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.4688091599269504,0.23197770653660127,1.0150145919405027,0.20679858546751306,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.46312815041696975,0.24118893574793532,0.9412477244888425,0.24070491588369344,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.4279728369108194,0.6110634414510547,-0.5138029375661108,0.3340438181654055,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.4036099654180968,0.33887756182752515,0.25219768154521394,0.7809181467982079,0.9893921739209425,l_amygdala,male_P45_nrxn,male_P45_control
