,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.6985698383263852,0.4364497358100731,0.6785888398780109,0.26903432325733995,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.2610255076619701,0.5447119976860559,-1.0613028487357563,0.20626590245248316,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.8521370701246969,0.4568389239801801,0.8993999355057986,0.03430592314395056,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.1758776368625694,0.5753104451220535,-1.709768610123864,0.02547574594075177,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.32975947433976793,0.7246882446390189,-1.135946381939687,0.05133229884961148,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.17166392421516785,0.47835105008652634,-1.4784828816556068,0.16291958435203055,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.6903061247879689,0.42622720396094066,0.6956136086467773,0.26823086263167195,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.2826335149744956,0.5702206360519518,-1.0125876986791997,0.20307261522803327,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.24885000075035224,0.5228738949236515,-1.0711866524201428,0.20613522372583568,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8234873508812335,0.5028437567587105,0.7116362931867585,0.19122786322997432,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.25403612977643764,0.5344218868447397,-1.0729453975240382,0.20924665304363751,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.18647072527514652,0.5379315702734132,-1.5284735064304962,0.12945434442283954,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.18920274277975913,0.5171258304729827,-1.4505823664694177,0.18431607781503256,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.8222503078618184,0.4809088831353126,0.773814067943812,0.19802828213275275,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformity,0.8222503078618191,0.48090888313531277,0.7738140679438127,0.198028282132752,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.15670851780132633,0.5380169350815791,-1.779567986199995,0.14615839633733183,0.6637188331635298,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
