,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_Median,0.7453507902501532,0.14693880521463218,2.342704123236593,0.0023280843643012864,0.2048714240585132,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.2383409569187822,0.5906987081547815,-1.3093955687997167,0.13933610916457678,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.3471387417757818,0.41222291166314895,-0.2479123097364747,0.7641110925080166,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.323629457171955,0.421908785420276,-0.38258819944157385,0.704468029492449,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.5332203330642691,0.3625432058839578,0.5565788574038492,0.4860067468546736,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.36610448120906003,0.6885574522138174,-0.9113216030262822,0.24633685679929176,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.5908529646265152,0.5381449235072615,0.13480441069265864,0.8513055245111147,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.46334947895476386,0.5286779359946895,-0.19028836875306204,0.8474952015857601,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.5063597268067626,0.4049817330263785,0.3223058292086068,0.7896429686776192,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.5851977361570633,0.5036893069412557,0.21639008474268182,0.7469442012308196,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.42290289106814427,0.570129965693642,-0.430964407642997,0.5950355625110412,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.5773486024844754,0.3917701863354111,0.559435066861047,0.4836533023224996,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6006447345959867,0.46273317020711174,0.37633140775636204,0.6047459421453494,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.582710055876908,0.3667437150918147,0.6680059650484372,0.42994248597774454,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.4781459281448461,0.55884979368672,-0.22500958111761707,0.8240223713581443,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.49056028872271085,0.5916802997141046,-0.27038740943042333,0.784791512769494,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.4953846595105911,0.40370594415857103,0.2952443644041334,0.8002135990243162,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.46801686300654843,0.5463489442101682,-0.2232621592918046,0.7736442042248106,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.4994154350131723,0.39783846910704435,0.3280576253831381,0.7934434921314042,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.3427423494163775,0.41444793790579126,-0.2740664217378114,0.7718992961660178,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.4656868266776282,0.37413816250230114,0.3157889419920855,0.7257309504813056,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.6908401334311063,0.44375291950148066,0.6385952855426118,0.24760462325804392,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.6973697919315237,0.46465992253004984,0.5857486559830332,0.22439356802677607,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.6189820266733349,0.4063197353945965,0.6072820790895523,0.4673540707054772,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.48632053195432057,0.5757204266562781,-0.24346089825390554,0.8109043105533994,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.47409632895354403,0.5889542454123952,-0.3129753365777897,0.7552055525584835,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.48227184943590534,0.4059130343165232,0.24867593406923783,0.8318603615085998,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.40558910840413454,0.6638755246186918,-0.7108938533255329,0.34398726059125023,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.5010950350644205,0.39940666185161905,0.3272258471409148,0.7933456294010914,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.6163933599472333,0.5229983881555045,0.23704482041496955,0.7173103341930415,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.41642328486593794,0.4763813207396609,-0.19406610406324246,0.8132590784605572,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.5331655239253408,0.6063442700250068,-0.18555366494957787,0.7536311295639146,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.5787068828164088,0.2865186920606707,1.0142035414510406,0.21304125139487778,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.5787068828164106,0.2865186920606725,1.0142035414510362,0.21304125139487817,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.5064827753532963,0.6780449867646098,-0.4208677899447653,0.43647322961818236,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.32451967951741734,0.424615855294319,-0.3878522741840162,0.6994861274789816,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.6194444444444446,0.4244444444444446,0.5453991667719181,0.46897713763214754,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.6276886342855617,0.4161939299418823,0.5927931619477036,0.3731994893462112,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5883040069229657,0.37437186560866864,0.652089843311507,0.4394950894098434,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.7579779315563745,0.5325152947328273,0.5093328825453344,0.24757009993298668,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.629180625056442,0.5274480522190637,0.2544452338266929,0.6956939153826611,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.5105645745443833,0.37239917678312884,0.45524355630016244,0.6258995450358789,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.4050055890483475,0.4699205033284596,-0.21447489881279932,0.7999602064785445,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.5848608452764446,0.4731751211987447,0.3057191870537029,0.6574017209804699,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.6618223373275787,0.5397960582818343,0.2940295432816959,0.6605484405044237,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.4998662517489838,0.3990295080369949,0.3250466904003194,0.7951220937861834,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.616507130175429,0.358963802246855,0.7802792094809794,0.3444149098366456,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.4164232848659397,0.47638132073966305,-0.194066104063243,0.8132590784605559,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.616530294706743,0.3590108573999592,0.7801443112094456,0.3444830957495813,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.48239702038956656,0.43681480080986745,0.1431992555759571,0.8512832753706173,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.6295065754501719,0.379870612573278,0.7287133405392461,0.36224388755247067,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.817427456548639,0.43549914902930376,0.9084208030339457,0.08198528171514867,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.5382464098001121,0.44543371792525016,0.27305602167433785,0.718799820148623,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.598907107696355,0.47409794875826794,0.3371471029173868,0.6020367104457085,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.7116545162958984,0.377824395794809,0.9134611741892144,0.17822170140205287,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.39817326133532016,0.24376251706670188,0.7079200401849285,0.4972095797652275,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.22834962372620227,0.3474682156063455,-0.6056366019781827,0.5769595019552137,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.8436336000679335,0.45060666925718296,0.9047478891318228,0.07236270547229902,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.6116812390506103,0.5499353143915258,0.1535180946694251,0.8072358984891085,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.6165302947067433,0.35901085739995897,0.780144311209447,0.3444830957495804,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.7185849707377223,0.40803820280412006,0.8164545299256963,0.1808458645602001,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterShade,0.5860642548758346,0.6372700916432719,-0.12084610635541658,0.8318503958317308,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.5846468563432177,0.45971430709695865,0.3468278921345556,0.6208588543134796,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.5850795015439061,0.486929530476414,0.2649196763566216,0.6962092016686079,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.5744427668935392,0.43707363279362177,0.39428681314532377,0.5894188747251891,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.5859171455751584,0.5196059264171662,0.17327878217566267,0.7897494298938853,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.5004250809571337,0.3994135664148974,0.32527076223379414,0.7948195462409684,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.5798843685360682,0.39984805492689546,0.536313379378237,0.40364862648549654,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.40030627517556266,0.4969307242241783,-0.31194051207165086,0.6417118505130175,0.9154929937775094,l_hippocampus,male_P45_nrxn,male_P45_control
