,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.4541438230264906,0.6884131533762473,-0.6001254052688108,0.40718396915162336,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.7175081747645731,0.38412536483338366,0.9014180368392568,0.1258088326553709,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.3444629452750545,0.6163687036675418,-0.8394448133487487,0.2649879338661066,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.6254891283163859,0.37688174024491305,0.7308729102416293,0.30680228562646245,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.6485723485000423,0.43222275421212053,0.5854924922913106,0.36474085944957574,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.37372041073408657,0.6867987426913441,-0.8779280395933442,0.20930386054403594,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.6035948690657875,0.3475862572836078,0.7962094994837834,0.250258909826351,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.5486772525063552,0.33169641335430866,0.7260943523654476,0.35083239618371953,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.34811022880249043,0.6640434507723423,-0.931733438880173,0.18917688241104647,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.646739296675691,0.3959231554552251,0.7079638275232673,0.3666316393648374,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.6443963879929324,0.41635430136657875,0.6301366788352744,0.400428267661951,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.63702149356762,0.3582208973956714,0.8304925491523595,0.2860701731294508,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.3622234629510743,0.722383745718779,-0.9958854316611232,0.12603996493893377,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.6641474045973097,0.43143848361861004,0.6223486086196074,0.38722335802825547,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.45054287490302897,0.6678009433496104,-0.5677537279715034,0.4446892738377679,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.6427898034673726,0.3585482390172886,0.8421798118938135,0.26015779643319364,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.6224042099256961,0.40038365127385445,0.6364687523958105,0.3781995977428122,0.8755112374493891,l_hippocampus,male_P45_nrxn,male_P45_control
