,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.7447591381232199,0.22837663616865633,1.705358855460688,0.012084907927004063,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.6557472765396262,0.2570946403733359,1.3508403759143977,0.04256432056143869,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.6920537645950269,0.24334381423005835,1.507888021028503,0.026546854664556436,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.6218919956584991,0.22090418300096032,1.4932433108709144,0.03943397932728996,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5219946774868107,0.14325846052377217,1.8654147526098708,0.04503613372071948,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.5934683247627219,0.21191252852946776,1.485702146694519,0.046557704067925684,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.649853381719643,0.21222019170991002,1.614552329502181,0.027032678947595354,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.17000536277709408,0.6524796011447399,-1.9403525420213477,0.008831467745784015,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.17168939723928905,0.7631608316989947,-2.1521861809063036,0.007067125166559311,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6429539296005624,0.20253880667963933,1.666517009393649,0.019463981745175954,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.15968386045954486,0.7629139198440251,-2.256301781581655,0.010107514181441856,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.19035107858587474,0.6021275295580244,-1.6614063349725268,0.03731133087407728,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.20902737722290965,0.7062460810035279,-1.7564790461339248,0.011676312852793542,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.6741062461516796,0.1952021641514051,1.7880069453202199,0.018466483450722822,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.14026751270123133,0.7041036300508733,-2.327606874842883,0.00504524744420546,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.697391171975918,0.3327325762865108,1.0676049810294634,0.04531185806256613,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.8601625622440308,0.31930285753143917,1.4296838766708306,0.03345871684127611,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.8601625622440305,0.31930285753144005,1.4296838766708262,0.033458716841276284,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.2159217492656197,0.6105061938049045,-1.4994973621516046,0.042753318045133264,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.6194697991609062,0.22556513837686126,1.4574898357191104,0.03887140838551981,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.6545110658333824,0.22357195567136207,1.5496783527217106,0.028768095697386732,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.16200438899843975,0.5803477038736851,-1.8408846226232956,0.022808783142478046,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.17419381025988318,0.7378169766317633,-2.0825696241361884,0.008515263760464733,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.7026423859790635,0.2536327438638515,1.4700495991400033,0.014937765422385393,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.6920537645950269,0.24334381423005774,1.5078880210285068,0.026546854664556155,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.27577627723893094,0.6629360354770821,-1.265371317120989,0.0456614444631129,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.6189809084293971,0.2237287494536165,1.468144255667758,0.03838459863771767,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.6325523455559303,0.22897772769586228,1.4659775955149716,0.04450340665396305,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.21592174926562024,0.6105061938049056,-1.4994973621516035,0.042753318045133167,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.8882824815428594,0.40155383110964743,1.145425134987471,0.017315979902458728,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.6492907205537297,0.22025030244086877,1.559720590785383,0.028688730010054155,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.6644999916994809,0.2837034271928022,1.2278856027248402,0.044425994569110006,0.10164759685865203,l_hippocampus,male_P45_nrxn,male_P45_control
