,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.24423170491887203,0.659816000047251,-1.4338132667871089,0.0965847860084252,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.5970857138627954,0.23137551035174972,1.3677018782721926,0.1439490053810189,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.5595059728980394,0.18345990450432162,1.608688738601967,0.12535501228888893,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.38316706377654736,0.6715458363741209,-0.8095123187761121,0.16674927865627737,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.6551961598310299,0.34944673136233784,0.9068543490779457,0.14888489639184696,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.4478038589111226,0.8086239315872789,-0.8526019409029427,0.14434101909994135,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.5872514368255906,0.22619918344204332,1.3763846167350224,0.14927299843619382,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.6862829057122883,0.33701138141360915,1.0260061053888045,0.1206264166888219,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.5752334751523316,0.23015523623333908,1.3215403689424348,0.15487807682575178,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.5941425600355825,0.23753502639253626,1.3226688706117813,0.15268719695645636,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.5904007467632449,0.2290804854822895,1.3658399801475196,0.15961195148592688,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.44153818486395036,0.806615272172525,-0.8693425118546657,0.10976411467958208,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.7474966713265127,0.4690979151393552,0.6721780659388146,0.17824115500354973,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.20814513477975016,0.6335340266374748,-1.6058322704460375,0.05869014298689618,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.7676669891660587,0.47480600227063424,0.6931424384214249,0.15050547967606182,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.4352493827792214,0.7907359318434765,-0.8613537316537527,0.1526808797606312,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.5700664734421272,0.21079075042530332,1.4353185942883453,0.15311286746432248,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.5554734773458359,0.18920093275815794,1.5537988265359537,0.13510731872368192,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.5737649924475965,0.2175469152202428,1.399133386717564,0.13398354438240256,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.4150632129733629,0.7722218266160497,-0.8956842605582362,0.16143580466223292,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.6465455298992651,0.29951446082264593,1.110126309275364,0.1399973824302541,0.5059748916229798,r_amygdala,male_P45_nrxn,male_P45_control
