,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glszm_SizeZoneNonUniformity,0.0877521570714995,0.7738322055585806,-3.1405142780641624,0.0011952880806980536,0.036286620705836714,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.22107005791105633,0.8106813563422722,-1.8746313276310151,0.0004258664642262332,0.036286620705836714,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.28248498957393586,0.8279648451755826,-1.551395304204423,0.0012370438876989787,0.036286620705836714,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2754785901915479,0.8195444147820469,-1.572881938624142,0.02648600344814521,0.5131351882737362,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.7609378989519131,0.34500655053810336,1.1411549642945988,0.029155408424644102,0.5131351882737362,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZonePercentage,0.18181818181818177,0.7116883116883115,-1.9687490660155602,0.03676605621412429,0.5392354911404896,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.42131807394398224,0.04362683511210732,3.2716220837844383,0.10233539003915502,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.437590551065968,0.051895402910875355,3.0759029361900527,0.09656201110975385,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.4497738988626428,0.089103830037448,2.335640590549628,0.10320920979892743,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.4515671304425113,0.07713961459299226,2.54939663313947,0.062124310884012476,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.4403663165429964,0.05727521672185061,2.942721204290996,0.08965627218807846,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.42131807394398235,0.04362683511210745,3.2716220837844343,0.10233539003915502,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.247519345209664,0.6643245306086638,-1.4243469024546933,0.10696002062456403,0.7240370626893564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.5562931864410021,0.21705861011799774,1.357760783893584,0.1210715718673823,0.7610213088806888,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.454170269895664,0.0885175546212773,2.359197768915075,0.13654424795306722,0.8010595879913277,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.6029647320522097,0.2698226961160507,1.160061914490196,0.14823432616798518,0.8128680721197917,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.5995862978982682,0.271531351239009,1.1428486319056719,0.15703133211405068,0.8128680721197917,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.5152264551202437,0.3776414353091954,0.4481896050616813,0.49335785951235656,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.31797530427271975,0.26453852931076594,0.2654368599389001,0.8006090921842279,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.5574255201184405,0.6561448627829589,-0.23523531270405396,0.6448808890706026,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.25804664611005557,0.565449406414246,-1.1317660651367563,0.21886682918101516,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.5872469459271445,0.35205568310335095,0.7381636736305441,0.33731606261655495,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.4529655420563884,0.6860066354221517,-0.5988212250703641,0.28224580222637247,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.4817232329422105,0.26403003225408517,0.8675024659512193,0.31932843928123134,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.3679490888053216,0.3208678044547296,0.19752712356323915,0.8340834107823842,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.40442800985348626,0.31941880770931413,0.34043365617291205,0.6981154846048919,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.3298640941873538,0.263461066301147,0.3242819693269829,0.7503765052717273,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.3608013209899907,0.28728833745383087,0.328705193223015,0.717540215910278,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.35366869681741164,0.4117393632788698,-0.2193328484982667,0.8051462936226448,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.5243125448918605,0.36641246419735574,0.5169584845028287,0.4337765975816047,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.3398731977799836,0.558921580774118,-0.7176492844273786,0.35411073790735775,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaHighGrayLevelEmphasis,0.42126729519903383,0.32824248360744185,0.35997394223216245,0.6826070089952152,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.6245126745153836,0.48607319739451527,0.36155726715311004,0.5233032083164268,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.3356552651981709,0.27018757837349916,0.31301892357218564,0.7522023282373432,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.3614135724057953,0.29273276209960414,0.3040664672168721,0.7343548855885559,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.4302230884969056,0.3145738537320444,0.4516861869766438,0.5923003692424504,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.4133298401813348,0.22248302773667933,0.893598238918052,0.34120583033958407,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.4133298401813339,0.2224830277366781,0.8935982389180569,0.3412058303395833,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6278397965335011,0.46155273724800255,0.44390097877943807,0.4507323025740695,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.5335138899610126,0.7397699331404355,-0.47155083353167804,0.2837056502300731,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.6112901222898112,0.6733531280465884,-0.13950604391563923,0.7774683445513939,0.9532381837512963,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
