,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.6890594035625295,0.4674126929203794,0.5599314504587833,0.3676252374237916,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.4129258921903358,0.6495324923840231,-0.6535188128361334,0.28226344969264816,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.48017978022817687,0.27370826242432605,0.8109356687994722,0.36034172961774,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.3794578768178558,0.6053577680405595,-0.6738482884099488,0.1951628183060685,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.7052137805256364,0.5188696237349182,0.4426885880923583,0.4517912232804565,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.3172026507957666,0.5361245593861097,-0.7571633977916425,0.36774133263985803,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.5037057435514678,0.247253448819614,1.0265905369689223,0.25575264738236786,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.3794578768178557,0.6053577680405595,-0.6738482884099493,0.19516281830606816,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.3334455336058004,0.5741123653528211,-0.783882004227095,0.31168536474743397,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.3240029574119858,0.5318822425886139,-0.7150998902670911,0.38421823355433665,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.6505869691421884,0.310166824793966,1.0686975413027855,0.19508611054721972,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.398373019535664,0.5971769574419505,-0.584038557152975,0.3670588731323374,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.3326380957323815,0.5111919624080917,-0.6199117483543266,0.4358706939055228,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.7875661802286995,0.4516804222818097,0.8020987774730038,0.05628822381046335,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.34857867544218524,0.5708003921215155,-0.7115020116702329,0.20464110182623607,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.2887091694901853,0.549830540841336,-0.9293701161643003,0.17225901902143126,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.47140418538380036,0.25461411079357277,0.8886521916145644,0.26540069290944474,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.5307542069538114,0.30440169059374633,0.8020675301699227,0.20803557506775053,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.36443790725313807,0.7242157303204486,-0.9907464833610625,0.10969781789755713,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.5235168643607258,0.8957286483356324,-0.7748257367336129,0.054689318176938506,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.33146849411503587,0.5424938589334717,-0.7107350567046109,0.3256904536741166,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.5449027558679117,0.33456083368469863,0.7037302253576146,0.26139907754769065,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.5566344307849243,0.2513787065009262,1.1468677009741342,0.1795777523311486,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.3741208066693781,0.5953220249966654,-0.6701660670451915,0.2152406158234117,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.5672105334373712,0.34871008710082013,0.7018562271229379,0.23942719800535767,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.5871363212465551,0.41110778720536584,0.514178807307502,0.4321641741117368,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.5513070234069521,0.18642475359131935,1.5642625462114252,0.05937187885265681,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.5886112626404407,0.41287848134645044,0.5115979182334395,0.43327305398741667,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.516828523913937,0.7934957173385968,-0.6185367415755808,0.17885538993056627,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.3664252844646416,0.6892062684892621,-0.911416766027981,0.14541449432922815,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.6102811546028521,0.17185627155604913,1.828271539892912,0.02807413978876506,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.3621298070851181,0.5493689701710535,-0.6012684947898082,0.4208730463062834,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.3192161313023619,0.5068229321287279,-0.6669482446171986,0.42756132715394124,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.5269464811212529,0.2940441317792623,0.8416237441768494,0.19408253279643686,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.4788937548059602,0.24520468037971951,0.9657191047482718,0.22080076345673727,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.6429732715022706,0.42103558115793127,0.610816607059143,0.4388241834552842,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.30022284778470565,0.5442153178418118,-0.8581437900029326,0.187099107859258,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.36935440477797365,0.77373979968852,-1.06684270243998,0.08145565823051894,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.44625549375857665,0.24891205918809067,0.842233802867241,0.32291198600317383,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.3464389784024684,0.573321144250181,-0.7267422279107477,0.19388228328232748,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.3126877307238344,0.4950404890281622,-0.6628239153295341,0.44338572663076203,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.6102811546028521,0.17185627155604877,1.8282715398929148,0.02807413978876479,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.700621071504341,0.5218818651624891,0.42491110779894886,0.46458693246385874,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.8597140507312198,0.62316014141297,0.46425392652498554,0.2715324885400087,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.3904237549905891,0.6084483512417943,-0.6400939684136081,0.2266005905765248,0.7571046306818441,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
