,binWidth_0_1_ODI_male_P45_nrxn,binWidth_0_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.23268337087183066,0.7264345372922174,-1.6424646854564118,0.004821720527667907,0.20599456442701572,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.7943778695773857,0.314935913447545,1.3347671483087986,0.009363389292137078,0.20599456442701572,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.78971023843455,0.3029521744908684,1.3822333339442494,0.009037524527949068,0.20599456442701572,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.7908670049371818,0.3002296498855699,1.3973686455281744,0.008170374697813497,0.20599456442701572,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.7774874228291916,0.30840480585141333,1.3339940905574508,0.01325677341733781,0.23331921214514545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.12282522824917885,0.6265955771140111,-2.3509276662537375,0.021624042784284533,0.2718451092881484,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.8099242676358287,0.36623245429115625,1.1450273708058474,0.01879298903281433,0.2718451092881484,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.6935572559549712,0.27114211078866407,1.3549657937854502,0.03805332315030764,0.2793994883229971,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.7186569099982016,0.30521266479713666,1.2354883579618812,0.038099930225863235,0.2793994883229971,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.6935658653313562,0.2711575300324685,1.3549016618691971,0.038057254559788055,0.2793994883229971,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.29033621987487673,0.7751910651353906,-1.4168273807806928,0.031229880589163646,0.2793994883229971,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.6935658653313561,0.2711575300324685,1.354901661869197,0.03805725455978814,0.2793994883229971,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.4018611750233507,0.7435451169783832,-0.8877230839037502,0.07101966360077303,0.4807484920667712,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.5825929642384882,0.26989081997043557,1.1101123726778706,0.11138997525860883,0.6981583676391293,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.5318759159745969,0.22950659501709225,1.2125541003614295,0.12693788502529624,0.6981583676391293,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.47694908786146684,0.7884098820690678,-0.7251105861519306,0.1196908967255274,0.6981583676391293,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.5312370525708072,0.2987157848264612,0.8305822999031074,0.23891981073417612,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.410965054218531,0.18469316727794052,1.1538852269505027,0.3241891130937859,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.40789256531443163,0.16872873076585754,1.2734835577135613,0.28891371004356564,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.4004265231515014,0.19228476861418553,1.0582930499817687,0.3713867255819662,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.6178741585429313,0.8469023692536943,-0.45488262890914805,0.3018647994594973,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.4363846132057052,0.19725495518193553,1.1455386913528385,0.27253523245212985,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.5274245896000115,0.29489007406567613,0.8387875717055642,0.29608966884264953,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.3241657344346307,0.5987032236387246,-0.8851094377651548,0.3222066182677199,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.5768772260188644,0.29156034902634087,0.9844697771688997,0.21628050629513673,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.4800943482850941,0.2443755107460685,0.9742182348943531,0.29140142386916246,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.49683544303797467,0.26329113924050634,0.916109125637897,0.30157478849708413,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.4727028739458401,0.6741039334247916,-0.512037407408136,0.3285242025999907,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.3922628510339896,0.18420116369810274,1.0905385367663367,0.3727528709706096,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.531237052570809,0.29871578482646266,0.8305822999031053,0.23891981073417418,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.5985436761606291,0.8029768812026248,-0.4239019256864953,0.38015745322794,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.7278966635545931,0.4119563140077247,0.8212422969521894,0.18203442588901814,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.5913356095850633,0.7977804054061082,-0.43201453202850687,0.3764620877122189,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.38369765444961956,0.17913406291384354,1.0989302492711723,0.380342509780802,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.5783559186545123,0.2894388318660141,0.9986991060432414,0.18587190724427888,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.3670109722366386,0.14317202755843242,1.3580735433177926,0.3302299376539155,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.257023650322744,0.587696874655852,-1.1931711094152595,0.15593994672060968,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.6794114724588907,0.4032046136755292,0.7527734326001263,0.2989056921286718,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.5985436761606326,0.8029768812026262,-0.42390192568648927,0.3801574532279458,0.7437809080157906,r_hippocampus,male_P45_nrxn,male_P45_control
