,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glszm_SmallAreaHighGrayLevelEmphasis,0.11640122397422693,0.8579165846651338,-2.8817311526731673,0.00010724057216946988,0.00922268920657441,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.7667517302434316,0.19716561946211855,1.9593515117786466,0.0007227436931087566,0.031077978803676534,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.13502814749023495,0.6599310547539765,-2.289055131343328,0.0024955651442815003,0.07153953413606967,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.115995115995116,0.7507275132275132,-2.694225295363281,0.005978808470006306,0.11801664088607927,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.7127342452864012,0.2071580114329694,1.7826326294830157,0.009569540862514995,0.11801664088607927,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.2781568640827678,0.7484339130720283,-1.4279762240775309,0.010427217772656002,0.11801664088607927,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.2781568640827678,0.7484339130720283,-1.4279762240775309,0.010427217772656002,0.11801664088607927,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.1296896825906668,0.6235637752281568,-2.265473408654164,0.010978292175449234,0.11801664088607927,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.259839446446813,0.7346446170550406,-1.4994260535293367,0.016425607548890185,0.12266237190237092,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.6851954657604213,0.21507017786335547,1.6717081133642153,0.016211726734348886,0.12266237190237092,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.04690682663999803,0.5496933015520192,-3.5507570916544333,0.018541986450358393,0.12266237190237092,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,0.6797932578168835,0.21586287434162185,1.6549809137471514,0.017748456206720595,0.12266237190237092,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_ZonePercentage,0.053030303030303046,0.5212121212121212,-3.296981737757131,0.015711781431450886,0.12266237190237092,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.6711051343816751,0.24179316277395344,1.4727653448634557,0.02512930399082811,0.15436572451508696,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.3427476631188048,0.8286444701877833,-1.2736064167073324,0.04235317302057445,0.24282485865129352,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idmn,0.2493371479583537,0.7505619857068127,-1.5898733813394994,0.054315426739763965,0.2919454187262313,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.7611809099095246,0.3319340222689139,1.1973428708655136,0.06298512960230022,0.3009289525443233,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.28659001560189024,0.6959534604476977,-1.2800024849258533,0.06224017838004451,0.3009289525443233,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.17390109890109895,0.6209047619047618,-1.836104946970142,0.07467203147635998,0.3379891951035241,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.06212055409489413,0.3877287253457953,-2.6419050195740215,0.11325806905634257,0.4870096969422731,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.4198690246659132,0.08630736579275906,2.282383764250011,0.1206490490179875,0.4940865816927107,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.11358022703364629,0.40198695954951374,-1.82343700050177,0.16410079602934866,0.6414849299329084,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.6892678037240386,0.3513824238138788,0.9720225980050622,0.20543813496404148,0.7681599829090248,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.4515346391050903,0.7271116647143991,-0.6873402730501448,0.2565622419657549,0.9193480337106217,l_amygdala,male_P45_nrxn,male_P45_control
