,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glcm_SumSquares,0.2983660753748012,0.8326491265977779,-1.4806251719692807,0.0019530653823816766,0.16991668826720588,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.3049506793225376,0.7631118555741694,-1.3233186105014891,0.006817407439111225,0.2965572236013383,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.21206478254866568,0.6516757270071792,-1.619649206437406,0.01880504538452456,0.4779776436570802,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.6228998849252108,0.23054085155351345,1.4339778888177312,0.02746997952052185,0.4779776436570802,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.6228998849252179,0.23054085155351345,1.433977888817748,0.02746997952051975,0.4779776436570802,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.6806872425069592,0.2821676084618133,1.270439688169425,0.03554008765315356,0.5153312709707266,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.24741669748909284,0.6033994214241237,-1.2861704459245933,0.0457758137652971,0.5689279710829783,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.8431545250199974,0.5505009865248894,0.6150519091008153,0.18927759843042974,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.29749321960765585,0.6501462958407558,-1.127907602490131,0.05563505115766903,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.027591951589275687,0.40498970343860546,-3.8755658212331956,0.21112211181207588,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.023522350595787805,0.4140309625387865,-4.1376345195823045,0.18115748097678935,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.04276603119528488,0.41891103079707365,-3.2921066413684104,0.18699970349963246,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.0020400984337864414,0.3995529240897843,-7.613604039246146,0.19332270375718782,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.9383066568577139,0.576264374791187,0.7033286668839362,0.21256629609208166,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.9953370497835194,0.5980012926394017,0.7350365435155698,0.19373140349672704,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.9748285625386961,0.5787649590059608,0.7521709453706434,0.1801813780657,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.5587724905727569,0.21768920392671873,1.3599911355722094,0.1479921525507012,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.8125,0.45,0.8524428115861422,0.1363018769160591,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.046875,0.4375,-3.222392421336448,0.1777808485085594,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.140625,0.5125,-1.8656989082884088,0.1490222201771128,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.24960387838386738,0.5719458297606731,-1.1962381614800384,0.16281471374724835,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.68359375,0.346875,0.9787233403695852,0.11215776791228585,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.41311503811503747,0.7087531318300544,-0.7787396272424151,0.14334405573916342,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.4131150381150377,0.7087531318300545,-0.7787396272424145,0.14334405573916392,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.5507120767406927,0.27296129118084833,1.0126018700318293,0.16925487837503733,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.01781202627589684,0.40202122283981795,-4.496348113547594,0.20449284589360817,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.9584914300667278,0.5913123119194033,0.6968452164515802,0.2209129257989411,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.01372173807900004,0.4110503307892429,-4.904779915827433,0.178524548476758,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.027591951589275687,0.40498970343860546,-3.8755658212331956,0.21112211181207588,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9145593549295675,0.512335745934307,0.835987251068404,0.13429366946878024,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.04624084318150068,0.4078271822027446,-3.1407183259242744,0.22157486279616914,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.021643132779635504,0.4030945272148051,-4.219136950711536,0.20715249998734545,0.6024066582270848,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.08700307979040289,0.41025405405791204,-2.2373792138509736,0.2547038972192224,0.6155344182797874,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9193825857373277,0.5823985742945782,0.6586585161156121,0.24750344924518525,0.6155344182797874,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.07435961158794102,0.3981811164208778,-2.4208336638729198,0.2537424760070824,0.6155344182797874,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.057002640824609874,0.39559135612689966,-2.7949102395454872,0.23914071315328325,0.6155344182797874,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc2,0.46556302169312075,0.7313172148991353,-0.6515208491028063,0.2748338942239724,0.6363140704536395,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.7258923065397773,0.4777268078473673,0.6035696891665591,0.27793028364641725,0.6363140704536395,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.6227080853763995,0.36094938596312043,0.7867594618554506,0.308864560612935,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.22005953998182864,0.3952421097108284,-0.8448427455454631,0.42605873972982045,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.26082935160530163,0.44244841896282133,-0.7624030464817412,0.4095770825351016,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.38072516684802565,0.5514671577967027,-0.5345250311193626,0.42830778557588856,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.8333241439310028,0.5849409914039666,0.5105866863793865,0.40898791687411973,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.5483851658071273,0.32155297720970755,0.7701330985291548,0.3620453576828159,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.24033198191705796,0.43065405090549697,-0.8415007555846357,0.414369813368312,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.3622467143040363,0.5767416514516464,-0.6709526113894818,0.3955639805082523,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.2200595399818286,0.3952421097108285,-0.8448427455454637,0.4260587397298201,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.48647658906617774,0.26125032696834866,0.8969375364058448,0.3671967429459247,0.6430441000620912,l_amygdala,male_P45_nrxn,male_P45_control
