,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.24194438213985475,0.6348506344191517,-1.3917417584863212,0.03719225772691314,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterTendency,0.20530107395245928,0.6590309904102657,-1.6826051340575106,0.015334763053815446,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.1743525851051887,0.566359541196047,-1.6997104529210922,0.02792373627074753,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.2903314591329415,0.683450423638605,-1.2351357859328669,0.028020178737238704,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.22020128292383365,0.6179539371178865,-1.4886764279863414,0.019610716779156125,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceVariance,0.22328673733137663,0.6509444483439046,-1.5436368676621304,0.015329164035602328,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.8129291175874112,0.4137104333717795,0.9745082222743413,0.02455987406417531,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.19664954090108752,0.6331250371421782,-1.6868636303868982,0.016528661577658803,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.18390092743553088,0.5611660988075993,-1.6094990999696632,0.03682016928891982,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.7027643418457261,0.30746547680763664,1.192616561878193,0.01882509984519193,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.6952565277278224,0.2980769223605679,1.221860701359197,0.017033924745685568,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.7013434610823511,0.3052755481682614,1.2000090943868955,0.018221906681530894,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.31258997078486855,0.811092089831772,-1.3755942332648374,0.019334926340634388,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.6179652838910369,0.19164125761563033,1.6891176064816982,0.019045026254948267,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.1970317652617437,0.5753869280761892,-1.5461042073258409,0.036479388051406686,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.7189984017090596,0.311805638468954,1.2053415467110564,0.02155576827945484,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.22416803417246273,0.5978448465132296,-1.4151905549353274,0.033650573072160926,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.3123682596031664,0.7469953987517514,-1.2578514908652254,0.02910773175674626,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.315903719904865,0.7836914698726996,-1.3108008684681327,0.014436302449537303,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.15720370764305497,0.5686933385831262,-1.85501566140944,0.027769354350246172,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.21235877788287125,0.5989243567375009,-1.4958700603245716,0.036141708335593555,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.2125691102031227,0.6744419303127642,-1.6657622672493697,0.015003339050220154,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.37956951479977263,0.7333162705736852,-0.9500714230877976,0.03681953180393942,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.1484164253163731,0.5413065717224269,-1.8667951386306627,0.03517598941125069,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.7026323195212472,0.29449115851854446,1.2545456180411292,0.015394614516732717,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.0036420566038731506,0.608394163060104,-7.384109157201532,0.0028198612759713373,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.34121313670708187,0.7695144628568429,-1.1732752504574904,0.01576481106486775,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.21070553229597952,0.6347666376932548,-1.5909981103177337,0.018399678640763056,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.3977283696928917,0.828714731440224,-1.0590920958452315,0.0339104152007464,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.1572037076430549,0.568693338583126,-1.8550156614094397,0.027769354350246207,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.7026323195212469,0.29449115851854446,1.2545456180411285,0.01539461451673275,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.20719042656710657,0.5869483685595362,-1.5022762574987885,0.037050629974536196,0.09995419264107906,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.26615781954639195,0.683928585381871,-1.361563736957784,0.03994173788169056,0.10409058963107236,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.1446509910131725,0.49453157700357026,-1.7734864360977138,0.05665476813912838,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.14901758775480173,0.528898373684598,-1.8275079248538895,0.04659502882093062,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.35859601701892474,0.7416495718076577,-1.0483782127663483,0.055108099113445504,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.8197721331061412,0.4560208550180649,0.8461231445155261,0.05721700803382761,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.3035760156721202,0.6439051975519545,-1.0847904816579061,0.054094983375106896,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.8209636302679462,0.45765923191360186,0.8430445271830437,0.05041205329081665,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.8197721331061414,0.4560208550180652,0.8461231445155253,0.057217008033827774,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.15076564693716996,0.5116011954643559,-1.7627118980214227,0.046462361070895186,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.8533662369857544,0.49849053581071023,0.7755989178350585,0.05195031388573413,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Id,0.8541660110825813,0.5013332125445871,0.7687466779105708,0.05381344791219772,0.11443401606765555,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.1359443538848571,0.5018554053289319,-1.884255520678539,0.061119093491751354,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MCC,0.4511673989154867,0.8792333025694299,-0.9625832088071343,0.06714345440103504,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.13651691873075278,0.49144684232915814,-1.8479556175280505,0.06860313631277817,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.13651691873075256,0.49144684232915836,-1.8479556175280534,0.06860313631277783,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.1418615083351843,0.4855528313506145,-1.775145086753412,0.06314513543474798,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.8601323500167922,0.5154463879733514,0.7387362873850942,0.06765760093365825,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.8580920426190379,0.5108834955480913,0.7481380764506778,0.05966457310465299,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.6430806002800941,0.21484963546663288,1.5816722392527347,0.06739818803429762,0.11568372005684162,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.5457109400872804,0.1770542747593812,1.6239452900293614,0.06999337552511481,0.11575827490692066,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.26753144681398366,0.5903590210003319,-1.141884099930162,0.07686195184773122,0.12240977516490527,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.8611877610162648,0.518867488992883,0.7309616735754431,0.0754729747542692,0.12240977516490527,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.1101593945619754,0.44695418907479134,-2.020534433280808,0.0797511807767856,0.12313972576241074,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.8610749565563887,0.5158966345820726,0.739056794466154,0.08018400747319769,0.12313972576241074,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.18856471321324433,0.5390054578191424,-1.5152401567734122,0.08385579920677777,0.12651927599619103,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.2801587231412014,0.6022603448567507,-1.1041428558099393,0.08599996388956482,0.1275171878362513,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.36745907101224234,0.761008667086229,-1.050329318556166,0.11333525142701302,0.16520053597835796,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.2334757045068046,0.5655960099965937,-1.2764995118456366,0.1246653930001768,0.1786870633002534,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Imc2,0.33627082487818266,0.619291257401209,-0.8809944645887663,0.1274910848788962,0.17974152950139466,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.9100471307246469,0.6055533434751613,0.5876872102518971,0.13660671852024664,0.18948673859260018,l_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.06525896919833435,0.36797093553467286,-2.4953437138600134,0.14286381450492416,0.19502044519719808,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.6431847656200593,0.34190745146433543,0.9116273705302012,0.17379613617779868,0.23353855798891698,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,0.46074422316938407,0.19071522217410564,1.2725460786414282,0.19125391713158668,0.24920964959570385,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.24418376275765152,0.5563029079792702,-1.1879033769832514,0.19047115436149153,0.24920964959570385,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.46330135507694153,0.20739864612223075,1.1595444256008265,0.2154191208869551,0.2765081253175842,l_hippocampus,male_P45_nrxn,male_P45_control
