,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_gldm_SmallDependenceEmphasis,0.7317868999640815,0.1465838497708006,2.319697429774335,0.001182801328153407,0.10290371554934641,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.5768041905905247,0.20650990196609217,1.481870686819557,0.06228766670500865,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.38706287759737873,0.8136071921329512,-1.0717644840438725,0.028669457402093142,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.781497427729974,0.46528871961880613,0.7481149135910753,0.07966327140602232,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.4110396242692146,0.7285983234257366,-0.8258461987192551,0.08782701748306317,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.2631561572869927,0.7185096667402838,-1.4490884154733903,0.06982853011223202,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.41470482975484324,0.7896985215360605,-0.9292171400453628,0.04957126574414356,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.4562330133129606,0.8478864754809251,-0.8941002688160397,0.07736637988317889,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.5528296568327065,0.15938515196305048,1.7943177752363018,0.08214098217016957,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.6189267284033662,0.19577639014095913,1.6605618340883288,0.07074487636786356,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.3870611953687454,0.8135960051556846,-1.0717509172315376,0.028674091804656195,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.40085964125994217,0.736310015692259,-0.877216152397689,0.07111615864772933,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.4152087572449432,0.8316665647972347,-1.0021683608499872,0.03241651490728761,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.3870628775973785,0.813607192132951,-1.0717644840438727,0.028669457402093142,0.5457821800733211,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.7950014004267771,0.4673369629944261,0.7664942532415624,0.12766802960976908,0.617062143113884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5409011207250618,0.20525003809463058,1.3979823969309173,0.11343711025694345,0.617062143113884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.39869437340519687,0.7047379545384875,-0.8218036689270997,0.11852077399011246,0.617062143113884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.6895633238662462,0.3537539959693038,0.9629365985839757,0.12316857103331538,0.617062143113884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.4036111045313078,0.6086315939075575,-0.5926033579363726,0.34420505589620837,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.29475862612117787,0.5452466510617171,-0.8873749694299667,0.22986603115267878,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.47347293573854365,0.6704735324849708,-0.5018984197047534,0.4107291741378022,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.3883999951131081,0.5895189587320843,-0.6019950279350176,0.3759700916211546,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.7522952285486048,0.5475999382790232,0.45817665607772556,0.37770267006069663,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.21355494271067954,0.4292787258688634,-1.0073073882729848,0.30222080596976564,0.6617303361109035,l_hippocampus,male_P45_nrxn,male_P45_control
