,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.5905659599069654,0.21647016349596546,1.447930013052377,0.03974279222610976,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.3308862754052857,0.7134594780101313,-1.1084960396443633,0.040922284566393206,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.33088459538030957,0.713466619470509,-1.108517805489788,0.04091466600986521,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.3827132729057897,0.7753400114170093,-1.0185651810307068,0.023971777750062533,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.3771233942000931,0.7733320529477962,-1.036051362531726,0.02642278379381021,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.3747814649457259,0.752844712861622,-1.006302709613348,0.04354819680730094,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.384655882606919,0.7812263784995379,-1.0221722914763536,0.02302565228836232,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.3308845953803095,0.713466619470509,-1.1085178054897882,0.04091466600986521,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.38131137702663137,0.7669807141497774,-1.0082207246021855,0.03304672960126653,0.4258045910047203,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7302944293602964,0.27014842671818184,1.434725945759785,0.0684359402312283,0.6022362740348091,l_hippocampus,male_P45_nrxn,male_P45_control
