,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5939022669328888,0.13085564192255789,2.1822494110004267,0.060738804476154436,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.5341067043744472,0.9280687922136576,-0.7971037539363615,0.05131114809970734,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.2536732551552998,0.7011591185372454,-1.4667704577688392,0.048718117558127896,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.2536732551552999,0.7011591185372456,-1.4667704577688387,0.048718117558128084,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.20055142396793124,0.6409441812626219,-1.6762265107565508,0.058072062459215694,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.2168976974049172,0.6563207006681209,-1.5973861997285776,0.05410350320598752,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.5817112703408289,0.11244872546811505,2.3710359466568613,0.06164031760070526,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.5860458089490377,0.10472811371723578,2.4843646607453054,0.05909545202894594,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.19572713606710518,0.6327994975740803,-1.6929046659095577,0.05978704621077864,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.5851219171555616,0.10283405521310666,2.5084191426051383,0.058191983563943235,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.7426202623906705,0.3242440305520081,1.1955446654653326,0.04634871994849314,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.2042634017073179,0.6419434509198476,-1.6520154787102266,0.05896177308233268,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.34421976658924236,0.6966405723523336,-1.0170845523897756,0.061579245904578764,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.4645310657695947,0.890331575320588,-0.9385676405990563,0.029811021621686206,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.34444038152770845,0.6967693679439418,-1.0164269087197937,0.06158811469869012,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.3815447796404594,0.733189949219698,-0.9423346216025821,0.062020173387911305,0.19671120237392345,l_hippocampus,male_P45_nrxn,male_P45_control
