,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.6911844066418974,0.3245125461031358,1.0907964142867879,0.04762847285794436,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.7070140492334771,0.15350834767681537,2.2034217729555365,0.025725518973800984,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.21271647385314396,0.6938856449358429,-1.7057661532985688,0.01231063889918254,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.636084750951459,0.16029955298401263,1.988448598422491,0.03924128887307395,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.28178454860518043,0.674163373753671,-1.2585057451064492,0.0387270427237296,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.15093522025743025,0.5524730972692452,-1.8719747205557704,0.03752464720566829,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.5575539732673405,0.16735465599243066,1.7362027809972966,0.04638452669098051,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.20579883725471598,0.620176426496873,-1.591443857609951,0.02517892148825097,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.3644565166495748,0.7682956427192101,-1.0759148749350296,0.02659381731205609,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.3028345178401268,0.6579483260845314,-1.119444625386741,0.04917377460191558,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.7009741192433845,0.14867094837489445,2.237238419794437,0.02610961514575832,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.14952779841150798,0.540764920805269,-1.854587849746578,0.03625637615062432,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.2627863392066524,0.7019520345790402,-1.4174821724553774,0.048029103653833574,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.3021809833294028,0.6719590198838409,-1.152960378887872,0.04581617802215531,0.2545465979393277,l_hippocampus,male_P45_nrxn,male_P45_control
