,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.9774542179405579,0.6070852625776098,0.6871299797899685,0.14112935473486227,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.02547554347826088,0.5570350241545894,-4.4505832120372215,0.07324706696456901,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.8487903225806451,0.4370967741935483,0.9574554765998871,0.10999737242062001,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.08333333333333334,0.4066666666666666,-2.2868811477881614,0.15980120720168658,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.9343814921847258,0.37430546722363056,1.3197955773854868,0.05735552408543082,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.05715363455465863,0.5946072907085291,-3.379020001431572,0.06876008343222806,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.2769356156619447,0.6010920191477274,-1.1180352598634788,0.15871142011402983,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.022727272727272707,0.48565656565656556,-4.41743998949415,0.09619826464219822,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.9938753887052303,0.3984383334399152,1.3187085245423102,0.06655739154097298,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.08352988717691993,0.6057542775595071,-2.8583682928434566,0.07350662629710186,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.002684153106275594,0.5982856219836471,-7.80022361591435,0.06713443214501386,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.005514400560110211,0.37573215099743573,-6.090356693938306,0.14304320174404075,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.02989158987753636,0.5366027265622514,-4.166042846766274,0.06871798231943853,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.08279435233076171,0.39375216652914274,-2.2496835962919404,0.15556852280055736,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.24400060647654875,0.6196595842181495,-1.3445911414318332,0.052344147736448014,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.6409530621904234,0.28910083775579676,1.1486459208562043,0.13674481941935349,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.8926420973616686,0.3874387059560624,1.204113756810934,0.05834096734598291,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.8671822260252738,0.341245576446347,1.3455248426197026,0.0626583558960964,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.9108910891089108,0.5028822882288229,0.8570578263376779,0.12602077093703512,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.9654017215818325,0.39609023938951643,1.2853002492888823,0.07197420217005687,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.756246181423877,0.3697749188275449,1.0322085799419414,0.14718740438877193,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.06194628882044158,0.6194441628220703,-3.321884483841274,0.06580760618417301,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.01454221372054601,0.5769933049300062,-5.310235770314406,0.06986447808665897,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.06526721722996243,0.4505911885618644,-2.7873886673765758,0.10478923312873065,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.6879728672058647,0.33580311331422197,1.0347360620297883,0.1582835225760993,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.6613606871408272,0.27948835197429445,1.2426491326321571,0.13853932074076233,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.6613606871408271,0.2794883519742942,1.2426491326321583,0.13853932074076233,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.3617182706657718,0.716686915405068,-0.9864765439269367,0.14997927198746877,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.24287330233351623,0.7160388226909048,-1.55983389913942,0.1499844678689549,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.035714285714285726,0.42857142857142855,-3.5849625007211556,0.09136617097311232,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.08475356305070775,0.6047397789755553,-2.8349685549431762,0.0559524510723355,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.10540023896584783,0.5392305128837425,-2.355023997243322,0.09981523219933615,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.1607143187548815,0.5233236837817382,-1.7032050808427324,0.16006357405475544,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.8611111111111112,0.4337448559670782,0.9893527558004915,0.09517813337342906,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.025318184074601457,0.5847015546008654,-4.52945458964609,0.07116149030304805,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.2055180821425619,0.4881902300241844,-1.2481780908241018,0.1630122088372686,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9014805390844061,0.41860534364834445,1.1067056192531464,0.07313017356063575,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.016189158051971797,0.5785313241271284,-5.159295212446751,0.06981852394483853,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.6879728672058434,0.3358031133142106,1.0347360620297923,0.15828352257610692,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.3702441872049169,0.7274309847974438,-0.9743332929185687,0.15121841122618984,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.249578422367927,0.6795509743047061,-1.4450885646380212,0.023223441824770215,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.8197751138808707,0.38409480485383024,1.0937657438224067,0.03156501648959375,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.19776903450177397,0.5646586155370857,-1.5135623432796994,0.10809535287554574,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.36905382916243784,0.767781470324339,-1.0568644834229874,0.028796332208328584,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.07957572324241236,0.631089514008768,-2.9874443829065838,0.058222445623640706,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.284919556718519,0.607393244018833,-1.0920762107870297,0.15308360849391536,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.46516116796853013,0.03564929606941951,3.7057851698623967,0.09187256024377387,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.2938941484678473,0.6269907688270332,-1.0931475676847524,0.1195299770884989,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.041457099599655045,0.44692697530624204,-3.430348032540791,0.10273158898256565,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.025318184074601457,0.5847015546008656,-4.5294545896460905,0.07116149030304797,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.35357409696383113,0.7179175527159374,-1.0218055852277377,0.1528151228963698,0.2758668149553776,r_amygdala,male_P45_nrxn,male_P45_control
