,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.7051051551029898,0.28752513704199284,1.2941503383660966,0.0887993940958212,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.6634669914056193,0.21772186505664742,1.6075383911923224,0.08446334968493575,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.38802559281929083,0.8623848575372872,-1.152180035585997,0.06902619825348796,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.6741800731586446,0.26225530361470833,1.3621620371382175,0.07433314084780779,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.2597328395331765,0.6605581269354689,-1.3466570855894828,0.0740367579607882,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.3970771139363474,0.8808460975120788,-1.1494707601287062,0.05792807987611625,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.66333898042855,0.2993396400970186,1.1479629662515518,0.06750927510873465,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.2952484818090117,0.7287813329387236,-1.3035563651213804,0.07277144234821138,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.18672996722280763,0.6163126829843811,-1.7227090043580657,0.0710666810710292,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.18624514820051388,0.5886964512585762,-1.660321087936761,0.08549638001332434,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.34586072194986905,0.8079144191038778,-1.2240112972470667,0.07832345032069352,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.303424500683382,0.6294675568051084,-1.0527944384613714,0.08440652986897301,0.22430623297862676,r_amygdala,male_P45_nrxn,male_P45_control
