,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.6746347819300716,0.1839652761239842,1.8746732209246006,0.03708409286914693,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.22218575832527154,0.6903567678382465,-1.635575775812815,0.03265717153464886,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.428526588123912,0.8691986213744969,-1.0203011665055302,0.07520527490597673,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.2831727030545199,0.7545816993701351,-1.4139949104259204,0.06836295495717302,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.7208795831139199,0.25143540208956383,1.519570494053767,0.06841131065527274,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.3754243819165284,0.89400292242937,-1.2517571985153888,0.03871334308909917,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.4285265881239191,0.8691986213745082,-1.0203011665055253,0.07520527490597308,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.5817307692307665,0.1352564102564088,2.1046546441759366,0.08240821189841213,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.6224059290335902,0.19328873431263674,1.6870982498776235,0.07522420100404383,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.7955777259457637,0.3999288912056905,0.9922593786857589,0.07189988389825444,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6301463661397388,0.23534120808796857,1.4209330093741654,0.0703294551653231,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.3158108391075918,0.7577906799664967,-1.2627387087817015,0.04397690690254567,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.1902956197828254,0.6006550388336915,-1.6582943229543812,0.06733709015844792,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.23012844168422109,0.6506210084662911,-1.4993781096115528,0.05757132276255412,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2047756716335991,0.6323490551028506,-1.626676816161205,0.05120283245799145,0.1384892251228383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
