,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glszm_LargeAreaEmphasis,0.00024517524918649114,0.7996323772649555,-11.67130782879447,0.009632854001397904,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.24659167211242572,0.7703371479211014,-1.6433659200833464,0.010079434159056886,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.9999999999999998,0.19999999999999996,2.321928094887362,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,1.0,0.2,2.321928094887362,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.0,0.8,-inf,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.8129709278785526,0.26146442735799835,1.6365890830302918,0.008054132878345669,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.01676356033724896,0.7904744984525794,-5.559318426249698,0.009602630459490334,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.01948353130278213,0.7889193338167931,-5.339550705462654,0.00974352724326358,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.9999999999844221,0.20000000001123147,2.3219280947838703,0.009627924725130256,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.812499997937661,0.049999998628035655,4.022367848953039,0.003242606581073073,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneEntropy,1.0,0.2,2.321928094887362,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,1.0000000000000002,0.20000000000000004,2.321928094887362,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.9995397203327402,0.20033192684363307,2.318871537441785,0.009620585679871538,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.8483304126422588,0.3168906841048823,1.4206410352094747,0.005509148569170684,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.0,0.8,-inf,0.009627924725379822,0.05480692323987182,r_hippocampus,male_P45_nrxn,male_P45_control
