,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_Energy,0.29543498753826636,0.8301425489013752,-1.4905184012488,0.01052420331010945,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.29529515371660703,0.830104546626224,-1.491135366934037,0.010520534879401104,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.2954349875382665,0.8301425489013756,-1.4905184012488,0.010524203310109444,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.31667653610537616,0.8437299139586024,-1.4137712763163643,0.01114427408454843,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.32173557278839393,0.819361831492923,-1.3486252322006902,0.01722944971876661,0.30323831505029236,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.3531706974165686,0.8244669346997299,-1.2230959879433239,0.021665038752706416,0.3177539017063608,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.634427424506565,0.20096725833862142,1.6584946598939516,0.04468494496674131,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.17113730627428136,0.6585312033040858,-1.9440975139351955,0.04200210151915185,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.35058924646558043,0.7598219934146734,-1.1158797267526985,0.03832847176863284,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.7803882348269582,0.2817020389524941,1.4700220220242939,0.05089640536890912,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.7803882348270292,0.28170203895257373,1.4700220220240174,0.050896405368907674,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.3564057719910887,0.7782615649141316,-1.1267344087106712,0.03681269472807899,0.37324030603866687,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.2934084402992312,0.6474846264224056,-1.1419355657927261,0.08785063261202077,0.4088823001350003,r_hippocampus,male_P45_nrxn,male_P45_control
