,binWidth_0_1_vISO_male_P45_nrxn,binWidth_0_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_Autocorrelation,0.1705083983628671,0.5320116138993709,-1.6416149396313926,0.09134082753735592,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.17488831371990177,0.568249965497413,-1.7000918018533053,0.0687352921924387,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.7686911422692486,0.3782741073760452,1.0229720159901603,0.057765292398743714,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.728154026681446,0.2742906566243065,1.4085381771214038,0.053888318635669556,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.1148671252484404,0.5136551778244317,-2.160834227356921,0.07971929793897484,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.7136062207165645,0.3094772447733875,1.2052948567786057,0.051383493517560504,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.17382333551345458,0.5870773122814685,-1.7559287298008612,0.07510349385842247,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.22438899045392263,0.6515521523837318,-1.5378787689935114,0.06123465102222112,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8059254447188128,0.4304166133151842,0.9049126183561947,0.05890496500953226,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.1748883137199015,0.5682499654974131,-1.7000918018533078,0.06873529219243839,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.6644514483848221,0.25443965711078664,1.3848402378817009,0.049942097526322615,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.05890511220652195,0.5633924480604877,-3.2576754733907096,0.04676976081842532,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.7679434294052578,0.2873072602946265,1.4184055882151212,0.05470338859467,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.809450002105395,0.37125172669008966,1.124544235375351,0.046422994943387696,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.27296956723429344,0.6660961274238663,-1.2869902770675472,0.09164502416664108,0.5376508084442944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.18839080989526327,0.529756075078639,-1.491599638140282,0.11352854108711005,0.5633730259528621,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.35129244302688156,0.7431654563195078,-1.081010902431406,0.11108308379454652,0.5633730259528621,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.5191687019474174,0.20861722531719903,1.3153451285054176,0.11523539167217633,0.5633730259528621,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.6561548037111204,0.41771627819041246,0.6515128579970019,0.30255614718413587,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.5350612256107588,0.27289523174525193,0.9713567978036022,0.2525937095984471,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.420386909275104,0.6730320420668111,-0.6789574461624789,0.2623812005968618,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.45506360688450953,0.6851683711648778,-0.5903903418006473,0.3266304724082227,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.5750912870778133,0.2848029190530274,1.0138270472292683,0.22021877589188302,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.20811202584657593,0.5032416465589644,-1.2738909854084595,0.17663154136838313,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.02671061970112161,0.32242168518784453,-3.5934634259988485,0.18547040521530528,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.5607762810743038,0.2927579526397385,0.9377169681264031,0.23078989294852692,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.16500880735803253,0.418118466414741,-1.3413687316622878,0.2387820001899007,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.5561957906345361,0.2397145715712891,1.2142752172068694,0.22005486901159657,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.31049449601591833,0.5528525640798277,-0.8323270959889163,0.3105245287911137,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.5654925977668565,0.28680067529450115,0.9794597186448164,0.2017907339845425,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.16666553763592973,0.3737357582181964,-1.1650627831710658,0.34906499757947346,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.7522223870631184,0.5391516676766827,0.48046807166883587,0.29919046363381396,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.24934053039138915,0.5896469329180277,-1.2417339477621365,0.1545385386739366,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.5370119376619072,0.2775154166597916,0.9523862404478861,0.26842058422449905,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.5422921828931684,0.32859332852393197,0.7227671847998772,0.3509778962533612,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.3700383362849568,0.5999134902930069,-0.6970797309361633,0.329377875810998,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.24673170821666227,0.5008249123852075,-1.0213631950768256,0.24858987664060425,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.542648841190511,0.25640173511582603,1.0816128784858725,0.20767012342225466,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.5695947804982261,0.3051164670536906,0.9005758822970131,0.27110310377974783,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.42897278532169847,0.7259011699766573,-0.7588870175991269,0.20980492834717349,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.3545189425395009,0.6844021756521996,-0.9489816308997406,0.17321030370152316,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.3194297765957522,0.6135455841562084,-0.9416717306261804,0.22429015522918003,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.40887027794164743,0.6551756210961671,-0.6802384830292973,0.2885273059817407,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.4833496196051263,0.7073455977837536,-0.5493481588299233,0.34957476720843456,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.36853930559576015,0.6445526864667938,-0.8064797965415768,0.26924428909953363,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.319429776595752,0.6135455841562082,-0.9416717306261809,0.22429015522917994,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.5370119376619077,0.2775154166597913,0.952386240447889,0.2684205842244977,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.41044392844142996,0.17028572813441395,1.2692276200764503,0.26294946940178787,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.4974500259797734,0.7402694732051598,-0.5734989375678662,0.35006042921019787,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.45366255681090184,0.7326140418984075,-0.6914337619308536,0.2618998098871781,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.34278580483631965,0.11834096386715495,1.5343578162317724,0.3175801247549716,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.4996143450746779,0.2021797209467934,1.3051766014901645,0.21333881447706124,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.5435619456741034,0.2950168977178276,0.8816468674884224,0.30375227092354645,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.5480085725394814,0.2888595254661837,0.9238303916034838,0.2884539694368518,0.5719639790795515,r_hippocampus,male_P45_nrxn,male_P45_control
