,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.3528410237280153,0.622957896136034,-0.8201163507834841,0.3332385685742188,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.0,0.2,-inf,0.407083822065589,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.0,0.19999999999999996,-inf,0.4070838220655887,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.7895154110187157,0.49811434117803655,0.6644904790301607,0.20392389358556876,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.21380996746618663,0.5656802039759341,-1.4036575739595558,0.07757786231572905,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.4116645356765627,0.5022269568393767,-0.28687029893657046,0.692567245010083,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.6269841269841372,0.5365079365079424,0.22482940678228874,0.6971099591478929,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.5508408311731943,0.45525504432123115,0.2749605008055538,0.7005502249802338,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.58959836076804,0.3034802188636377,0.9581300301058836,0.15837280101911322,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.47276709586777965,0.33918869814727903,0.47904152909083975,0.5690915440759474,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.42990144560006716,0.3380910980017518,0.3465939312644425,0.728130826490512,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.4104016392319565,0.6965197811363595,-0.7631278325056998,0.15837280101910803,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.8175213701219946,0.5730260422495121,0.5126557368821731,0.3083253254336317,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.2563038372180886,0.3827063087200802,-0.5783826053970038,0.6117639764757334,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.6228275967323746,0.5353711186905243,0.21829355692507663,0.7086270848320408,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.6313966708734,0.7256538980353866,-0.20073496234237875,0.7343357286729288,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,1.0,0.8,0.32192809488736235,0.40708382206558924,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.0,0.2,-inf,0.407083822065589,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.9954547422639345,0.796796081698254,0.32114517332894543,0.40830446803064735,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.9191807001043705,0.7439886985338957,0.30506779983296295,0.43907743426221324,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.3501481271883833,0.4475384964861885,-0.35404641478160864,0.6816380830702055,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.444859387530415,0.657764608337527,-0.5642219878347263,0.38081543027223935,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5294917982523382,0.43849893782440147,0.27203498922798736,0.6903628494138556,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.4082768635043541,0.4972652468538222,-0.28446779249208864,0.7140148951062546,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.4294802729464884,0.3488174029039037,0.3001198468250449,0.7129305756425908,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.4294802729464884,0.3488174029039047,0.3001198468250407,0.7129305756425945,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.6390936263251081,0.7635123574071045,-0.2566242076869538,0.6043034955881428,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.5450621723609927,0.7666822621387525,-0.4922080023513512,0.3045019729522464,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.003160356034570661,0.20318367271917265,-6.006553569043096,0.40527932313378445,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.0,0.2,-inf,0.407083822065589,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,1.4400627594226297e-07,0.20000013442235565,-20.405437851798315,0.40708376855349837,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,3.330483828695527e-08,0.20000002298750244,-22.517765053168475,0.4070838322470214,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,4.413729637229185e-09,0.2000000044493513,-25.43342653107705,0.4070838195083256,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,1.0,0.8,0.32192809488736235,0.40708382206558924,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,1.0,0.8,0.32192809488736235,0.40708382206558924,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.9269432973680676,0.7324636031990167,0.3397240170923814,0.3866865891188674,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.0,0.2,-inf,0.407083822065589,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.4932094779439815,0.354964949904155,0.4745239476349309,0.6082129024441099,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.18247862987823282,0.42697395775094266,-1.2264205593388517,0.3083253254333311,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.4800187756362999,0.3614433211728956,0.40932140474675044,0.5494125600381492,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.4963255030346537,0.6404425581863669,-0.3677825923473768,0.6021976050448508,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.3138115418098657,0.42595162335951786,-0.44079117364241915,0.6366079509036131,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.5321844786882606,0.36991104827747423,0.5247480437217911,0.4778234253688347,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.36449918576319834,0.2877535965653769,0.34108163140985887,0.75687443905361,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.36453477899030795,0.2877668773506205,0.34115591959763014,0.7568011473015257,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.4008288992015653,0.6578745396506006,-0.7148259516164134,0.37371413006245,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.3880081382013906,0.2973493298296527,0.3839280881066674,0.7172586833972505,0.9020284410638914,l_amygdala,male_P45_nrxn,male_P45_control
