,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.5203023497265271,0.08327858772605122,2.643332714536946,0.09912222126687648,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.20113143842450196,0.5193809481242398,-1.368654490361385,0.10322379220839992,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.2550295008415231,0.6004159322185693,-1.2352981176104247,0.08323758162106894,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.23922950064715237,0.5358418973909795,-1.1634120828669356,0.13731336038349326,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.5290935524296878,0.1270068863248443,2.0586161148981414,0.07723344244264398,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.5835694992365671,0.13366941168820193,2.1262351182221857,0.07192647630112284,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.19404497350309932,0.5156094214673548,-1.4098875632064558,0.09586079536317015,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.5602624927211995,0.12291319119828872,2.188463157411741,0.07313727521983274,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.20287890210585574,0.5178133327507929,-1.351813269127121,0.10817757952269821,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.4221089985509228,0.09305890637424166,2.181399447309058,0.1306024583507067,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.625,0.2781789638932496,1.1678428634760067,0.06684296038172971,0.7213615813228877,l_amygdala,male_P45_nrxn,male_P45_control
