,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glszm_ZonePercentage,0.07432432432432434,0.681081081081081,-3.1959202099752564,0.0009517729402028762,0.0837560187378531,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.09460875456951977,0.7489723568666409,-2.9848668787060646,0.0025444806359211387,0.1119571479805301,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.6645284370967942,0.1607712488531221,2.047321509301738,0.005295868617879094,0.11650910959334006,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.13915324140185714,0.7468285600337699,-2.424102584958006,0.004041305208651112,0.11650910959334006,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,0.6066025803172019,0.16047677127052498,1.9183871498967664,0.021725272440750665,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.7732114502640408,0.2769589994673164,1.4811905841641897,0.018707974175849913,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.7307734650670428,0.2696769904786691,1.438191817133594,0.0165500402872038,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.6244268332565741,0.16056312234776532,1.9593919579639032,0.014058631679824192,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.19370962345079507,0.7014435436630118,-1.856431363374874,0.015508570840377947,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.7073564956024057,0.26988332816141913,1.3901016338361878,0.021936935205758113,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.6130724796419067,0.16294852586867165,1.9116413439752822,0.018673683457682205,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaLowGrayLevelEmphasis,0.21596852290645258,0.7364617937558533,-1.7697896258768537,0.01733978153563724,0.16087085817555952,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.3505329136742791,0.7895986815180269,-1.1715696667286863,0.024519982784627574,0.16598142192670973,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.16507188024371205,0.5894347210351055,-1.836237665687834,0.030243918211238962,0.18347961947870622,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.23417397301990955,0.6533718500413952,-1.4803235606805378,0.03127493513841583,0.18347961947870622,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.6954344322601482,0.292643383296905,1.2487708398416766,0.034363900628314965,0.1890014534557323,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.6283088058586311,0.24326780399094705,1.3689284047541177,0.04424439537026364,0.22902981132842354,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaHighGrayLevelEmphasis,0.4242607681645266,0.6573639473057534,-0.631741057643077,0.21488822631026291,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.3455033494195736,0.03639913099642937,3.246723784005238,0.15653494816381122,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.4753631954999602,0.7500015418433892,-0.6578633530411196,0.19449156649935243,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.4733911463060913,0.7481434730460685,-0.6602822412765292,0.19467227471779042,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.4762021243711627,0.751279147141225,-0.6577750021095835,0.19371331544859752,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.3635152153418413,0.7321842449780942,-1.0101909792516914,0.0650727565740316,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.531608378589943,0.8563390447865453,-0.6878182637936412,0.09463508527167072,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.34000625569655735,0.06444589709953244,2.3994008719116424,0.20646124830191312,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.41974629363569793,0.1592676440869439,1.3980643793336438,0.2083865995803931,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.3742214290713136,0.08852963818321793,2.0796597437205917,0.18205602157548487,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.5989234451927579,0.9694414672952314,-0.6947821857410892,0.09022361934224087,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.34802649737786373,0.6255980584755964,-0.84603888387252,0.22332442657885132,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.6292945952297294,0.9196838680532421,-0.547402482472919,0.17696259850211202,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.3592784027566639,0.0793047532177968,2.179622970306897,0.19534589945785483,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.609958515213896,0.8952196437531482,-0.5535305688791091,0.17887873749299887,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.6136790878052476,0.922584758839822,-0.5881970372436366,0.14375054990936748,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6106733362675063,0.9052575099511995,-0.5679273858525659,0.16724119968826087,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.5181795278408885,0.8065694438330102,-0.6383467326943234,0.1694966225752552,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.38409492517680965,0.12140743605787234,1.6616061148858912,0.2203082355493677,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.5181795278408884,0.80656944383301,-0.6383467326943234,0.1694966225752553,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.4317092127814321,0.1478803099516732,1.5456299081205256,0.17542822702205157,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.6344772564466299,0.924650820704507,-0.5433402082685751,0.17866834319476338,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.42492096033289695,0.15097596047314413,1.492875659003991,0.19061072374967888,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.4880067114558444,0.11623618649507642,2.0698417124405744,0.09797614073148513,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.6398652347971866,0.9261689715559663,-0.533507340868385,0.1852052931195907,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.4283667792219694,0.16798074090197881,1.3505507636915384,0.21792489164850962,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.3579542700441196,0.06828465198096545,2.390142037431773,0.18145094615353247,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.3741667030049401,0.10148837013276393,1.8823667652631382,0.2013699984130374,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.038747300524162656,0.3504411657915153,-3.177004547842738,0.19236070694193794,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.37419004519408017,0.09254200176090666,2.0155909671395547,0.18773341514072484,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.44417941603606853,0.1684482782932913,1.3988368549293875,0.185313169859252,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_DifferenceVariance,0.40705448301027713,0.13460106498729665,1.596532082929126,0.19547738911617715,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Id,0.6258021701084275,0.9102517494013348,-0.5405589469158874,0.18377225045442372,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.4388567271462285,0.1805864610454666,1.2810602873540295,0.22118571473678222,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.12067902857341276,0.48640904259895024,-2.010995061065259,0.09648392214941297,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.7064920960484787,0.433445279975584,0.7048235475308906,0.16321990203952585,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.6099585152138962,0.8952196437531486,-0.5535305688791091,0.17887873749299862,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.6258052842256006,0.9092467942366215,-0.5389580935531583,0.1851792877367036,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.6351733872868781,0.9215692655504395,-0.5369421363096312,0.18677650761149978,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.43605179853979337,0.1713174383165315,1.3478275126448955,0.20885639144021892,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.2760388772739471,0.589607198815901,-1.0948826688764202,0.1914783701833735,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.3742104842592961,0.0856006451061028,2.128156404887038,0.17814498342500948,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.35795427004412006,0.06828465198096509,2.390142037431782,0.18145094615353094,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.6088869304691279,0.9012767975141077,-0.5657959040406096,0.16963675365344413,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.4163236948802327,0.1430506883047992,1.541179231798928,0.1925687536546806,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.03352125452994138,0.4456308660652815,-3.732701114715971,0.152020892507057,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.4284983043271496,0.16871206088432453,1.3447263825856568,0.21229647989586992,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.42836677922196953,0.1679807409019789,1.3505507636915381,0.2179248916485093,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.5534086522151512,0.20026965597077337,1.46640135327453,0.08280566837384845,0.2890080814549841,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
