,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.41705418732465493,0.8382576109041503,-1.0071588335362316,0.0489232562310118,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.38771184009853776,0.7421447689995055,-0.9367158451673746,0.05144030621107792,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.4328895736400509,0.8615553726660687,-0.9929444693377941,0.03666697105483709,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Correlation,0.5666661689376934,0.1632923417674006,1.7950419416808796,0.060829462175137475,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.4249533158669223,0.8632110187236306,-1.022408920988071,0.02693159818942249,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.5654617617234123,0.1387885684184731,2.026540725485575,0.03906422931964158,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.4403180377330316,0.8607747848383109,-0.9670898710027814,0.048039143617494576,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.44191540316523614,0.8361333643323761,-0.9199628545764854,0.07193885856429158,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.41405381059592716,0.8513407791831863,-1.039918463989078,0.039505542080635316,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.42503936872769366,0.7637392474634417,-0.8454836884294978,0.061442424391493354,0.3331905028240873,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
