,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.32364678841084504,0.5430762881942254,-0.7467346857686445,0.3639159492443721,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,0.5232194918783839,0.3922532278217409,0.41563096854148784,0.6186550071905028,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.2666666666666667,0.3711111111111111,-0.4768136968655335,0.6832762459540642,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.49889003614790267,0.5943373257288478,-0.25256013223665613,0.8051276813080668,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.49708186610892724,0.40167464519251705,0.3074560763435978,0.8040080250780853,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.435937314351996,0.33924839833220516,0.3617786930708022,0.6973984688454533,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.5707614942528743,0.48548850574712504,0.2334508690720857,0.7244133858607983,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.5170244928138459,0.4030011655653453,0.35944861508708104,0.6789416585537391,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.509765625,0.3272569444444444,0.6394102847435326,0.4587929881693571,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.5137357223272048,0.39013434465725966,0.3970553855890447,0.6528387410589251,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.49767389176850496,0.5973695571813922,-0.263423013224301,0.7975761923071051,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.48606299302087075,0.5922165863853949,-0.2849816000491602,0.7802761043796322,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.5093038161532648,0.402778173705714,0.33854102048750756,0.7784668657079769,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.5003912078122802,0.4011058448394943,0.31907345168027207,0.7987657646697903,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.5021767797929826,0.42474226188290914,0.24160765713944943,0.7970737040376724,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.4817827424777674,0.37971511499056926,0.3434652887612452,0.7810731952170569,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.5219271994121826,0.44502685775152884,0.22995618110622393,0.7413415507531843,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.5588609100642437,0.6843834819259627,-0.29231567162543964,0.6005599566563231,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.4527475575782108,0.4077919666465431,0.15087350327201454,0.8194416510324148,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.31620370370370376,0.5555041152263375,-0.8129433331468597,0.3258461235987776,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.41148775894538603,0.29043732998535254,0.50262261836465,0.5633730800924919,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.4903053679950965,0.5941569027550808,-0.277163406180422,0.7870516315874188,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.4719529334725148,0.5880625643586208,-0.3173266616144671,0.7569503633013457,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5043052294034684,0.3940938697393364,0.35575787737763587,0.7640676151020952,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.4430209408641801,0.4967408936735026,-0.16511862583065495,0.822485954933394,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.5032044885866479,0.39952412385060576,0.33286217330307016,0.7882312636310207,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.589712218074979,0.7415568085556913,-0.3305461324266999,0.5134914359704369,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.37219949182671996,0.1050034779920452,1.8256389711043655,0.21940283742903813,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.529620187661056,0.398549301398657,0.4101999150411709,0.6126993073996054,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.5039612132277242,0.7346436137841408,-0.5437318447760708,0.37907851309473617,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.5039612132277247,0.7346436137841408,-0.5437318447760695,0.3790785130947374,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.4458003137024491,0.5994529315002609,-0.42724884718312367,0.5082015639807795,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.5901140687910035,0.5382013229843132,0.13284791639416038,0.7970481262200568,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.2916666666666668,0.3666666666666667,-0.3301486016923303,0.7910051864396368,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.23663265840865155,0.3680219391838571,-0.6371425751245863,0.6547292912630176,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.26784732005407186,0.5614667319145525,-1.0677896811941674,0.19061004278473653,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.44198803205225873,0.14166666677932244,1.6415069638393276,0.17378587573309984,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaEmphasis,0.5801886803453751,0.4640723265072972,0.32217247890424155,0.6128037382691758,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.5633313624418719,0.7832063940371483,-0.4754087498242575,0.30482625879748676,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.36739797474949754,0.6411737986764962,-0.8033717977768514,0.20924060347589526,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.5114934238894762,0.5841827800905321,-0.1917041407743829,0.8098865611685037,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.6367477892363489,0.292670473010579,1.121444843305939,0.11684932123088534,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.5139595093410172,0.7513372430633012,-0.547805911267632,0.2772953289361522,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.5026337383037471,0.39839463466018155,0.33530929435752554,0.7867051200137046,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.603721465092187,0.4390594892378468,0.4594666692844982,0.516015185781542,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.3721994918267342,0.1050034779920452,1.8256389711044203,0.2194028374290043,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.6037563357287612,0.43916451538912016,0.45920493454876454,0.5162194294405195,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.4001520007691946,0.5498058862239701,-0.4583742296797361,0.5183137816904706,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.6270460067407438,0.4542242693244506,0.4651665066222882,0.496074881394195,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.7628488106085738,0.4655742368877334,0.7123859297469426,0.22934946801898204,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.504242144919472,0.39985481290664493,0.33464045152656374,0.7864429669122244,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Range,0.5652543890062625,0.33737160890395945,0.744561718558888,0.2846936986929511,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Median,0.5559692484671369,0.2090918845202804,1.410868019709285,0.12011920923541186,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Mean,0.45088387157215876,0.3891725183254845,0.21234606784689283,0.785978128129527,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.6970736340429219,0.45927736272080955,0.6019453840308544,0.332224858132186,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.3730876366030639,0.5402208044246174,-0.5340346476495823,0.42728492048444977,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.7867207719554514,0.4785842963578751,0.7170786169541917,0.2265631645552042,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.5524042911057379,0.6242760513810254,-0.17645959529189353,0.8056739414473455,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.6037563357287605,0.4391645153891197,0.45920493454876454,0.5162194294405199,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.6715511984674593,0.4498146458555019,0.57816675795518,0.32901266912153876,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.4107692295052807,0.7388280915275443,-0.846910606915043,0.14956928713729772,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterShade,0.44962102575378865,0.7232891761249913,-0.6858630598980207,0.2068682180888664,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.4815394783803735,0.5826203934391907,-0.27490212058944563,0.7851534743428878,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.38100665059042527,0.6432171425403425,-0.7554896760220342,0.22560734094499876,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.48409009677935444,0.7694583581635868,-0.6685676716306916,0.25333199521618216,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.5559073861916879,0.47913020598808204,0.21442678220365458,0.7460069664761024,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.7395575676381694,0.5408525226402313,0.45142719226435457,0.4108121097090971,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.34633996457079497,0.4991089935658983,-0.5271660289479514,0.5244075884210591,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.27999141778514564,0.3908345201012533,-0.48117529087043187,0.6099678605344736,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.42344567682494016,0.5062333750246125,-0.2576257244170743,0.7332697713588398,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.5042421449194718,0.39985481290664493,0.3346404515265635,0.7864429669122248,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.42754985162654435,0.5091331216453284,-0.25195027741994425,0.7357126689696529,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.3734484246881813,0.5261370208030456,-0.4945295540750473,0.5380769776794099,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.5090610027681137,0.631999585024397,-0.3120850606767493,0.6138523160239977,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.5827346144607688,0.49834973368702434,0.22568045188521246,0.7304793914398864,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.4346306635817906,0.6282604957366215,-0.5315729064746969,0.46349501868608856,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.6140754272921711,0.521591090069245,0.2354966483149965,0.7181893710180204,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.7594086772832966,0.4341816003946576,0.8065778946245952,0.1590444040184981,0.9279328722325472,l_hippocampus,male_P45_nrxn,male_P45_control
