,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.6228106402708531,0.12683855848881218,2.295800205511218,0.007810892717668024,0.1718396397886965,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.36163165737835734,0.8968159879452007,-1.3102910205751728,0.0068423612239006245,0.1718396397886965,r_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.1972375690607735,0.8236130635195659,-2.0620323361294544,0.002470425625099132,0.1718396397886965,r_amygdala,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.2150851581508516,0.7741397288842545,-1.8476860143996925,0.005560026297525267,0.1718396397886965,r_amygdala,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.36324464162910575,0.9633472614864441,-1.4071144294172513,0.01986881419529455,0.21855695614824006,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.712169908175723,0.2538485465800987,1.4882534778802166,0.019842341168558,0.21855695614824006,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.5408855133435624,0.015475396934262175,5.127274938735068,0.01911837052490073,0.21855695614824006,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.6561526149183508,0.19976912548144754,1.7156977807576084,0.019356515067970943,0.21855695614824006,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.4798658315732908,0.9829026859917611,-1.0344174962047,0.03110992264261059,0.2281394327124777,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.4552154260431569,0.9751301725140076,-1.0990453730304222,0.025189645091507066,0.2281394327124777,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.479865831573291,0.9829026859917616,-1.0344174962047001,0.03110992264261059,0.2281394327124777,r_amygdala,male_P45_nrxn,male_P45_control
