,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.2017592710683631,0.5323574514439229,-1.3997603002562418,0.17324299483748515,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.010145551817716397,0.40279576931815775,-5.311129289687587,0.19669258498595205,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.001984074384373563,0.3993018419340778,-7.652869802337636,0.19343788299546436,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.013030746708869334,0.40735835050410535,-4.966306819504428,0.19363296402916236,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.9743858085272419,0.5916378305493737,0.7197788169218788,0.20334375786547831,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.9955809848729391,0.5982914966651134,0.7346901172343147,0.19390622053821824,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.005075669922039255,0.40306202230623106,-6.311259792641213,0.191475843708881,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.9924493469877834,0.5937647873754255,0.741101933028646,0.18976811414809414,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.007340212398474155,0.4021554670293114,-5.775787712498233,0.19525362392285944,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.6874999999999998,0.14999999999999997,2.1963972128035034,0.085433960247851,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.41666666666666663,0.7666666666666666,-0.8797057662822882,0.19961866620156762,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.4329268280432299,0.05121951672871285,3.079357659833647,0.10425792451726837,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.542481250360578,0.21699250014423127,1.3219280948873622,0.20972294448410236,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.00569351569606924,0.40046282257935817,-6.136204725151851,0.1947179811165158,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.015647849649465473,0.4035859001071895,-4.688839453943985,0.19691147175885182,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9684610499480516,0.58736667634048,0.7214326088352567,0.20402084676125168,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.9868784615321544,0.5949616899861027,0.730075646083136,0.1969620903833313,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.17179955044708314,0.5790312862442208,-1.7529150407442369,0.030718685031872382,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.007340212398474211,0.40215546702931143,-5.7757877124982215,0.19525362392285944,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9821359342107017,0.5833371909601663,0.7515926602023558,0.17286669307854868,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.8743245741165745,0.4688415335351349,0.8990685682593261,0.08504504661210613,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.6449781456085886,0.36275624721797123,0.8302498172694472,0.21523237015562782,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.005475044669649265,0.40117707542097225,-6.195224622351379,0.1946112107113751,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.1753143211253062,0.536531980460679,-1.6137203144644636,0.10731159696224962,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.7995209375859784,0.4772335729456225,0.7444402761332184,0.13782414613036345,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.6700316340192095,0.3837034816661567,0.8042373549502736,0.2122401448902091,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.7776380502646796,0.41618085227769763,0.9018882217145897,0.1193487292680621,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.866154603117036,0.45955603319737576,0.9143837813037741,0.0784925502337183,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.6449467100344713,0.36252776179406404,0.8310884813724456,0.21479802867362444,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.6738233690374814,0.2880047505938236,1.226277854900889,0.0815375553702331,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.6449781456085888,0.3627562472179714,0.830249817269447,0.21523237015562782,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.7991255869055576,0.4181233824044791,0.9344935238897187,0.0842288330272209,0.5918890179279765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.49332136779960933,0.7195430508706522,-0.5445532294085517,0.3426642770261464,0.6375956285024091,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.5566980488590385,0.2915548747875974,0.933127582013806,0.3097545738391909,0.6375956285024091,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.48949061512686143,0.7112306999832555,-0.5390363991685789,0.3912518629446602,0.6375956285024091,r_hippocampus,male_P45_nrxn,male_P45_control
