,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.15667280013608242,0.6435739714092532,-2.03835124294795,0.03652107036476929,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.8973499121460811,0.3915721812945588,1.196392384287392,0.02404537632715376,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.8462256584022639,0.3648803368598907,1.2136190230893635,0.03733731903497289,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.900103494482181,0.43512831325136625,1.0486499987067321,0.03631460765357881,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.14692980585787885,0.7325214985681738,-2.3177440138770646,0.01109844239000868,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.8807345257049914,0.39509675481718354,1.156501225550603,0.03164434287848102,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.8461976219013427,0.36488172979107325,1.2135657165497282,0.037353838710976736,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.8247777585905943,0.38112484699926397,1.1137417626526642,0.03523220780814396,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.8462256584022639,0.3648803368598908,1.213619023089363,0.03733731903497311,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.894205245557529,0.41109293976779515,1.1211414141541505,0.032262010169098826,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.8579019413118294,0.3797860630674286,1.1756257921006914,0.0386261172150411,0.3090089377203288,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.04088600793230057,0.6186067173306128,-3.91934338786284,0.062278475584612435,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.0068374651326941205,0.598624305170469,-6.452045474711729,0.06819507435277421,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.0034445096381556795,0.5998763020207611,-7.44422261419023,0.0678803002250441,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.864962259703816,0.3531396484533616,1.2923983784656257,0.05267804491081078,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.29737080032315366,0.7222329969925998,-1.2802013428136025,0.06730616459343965,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.8512109233900247,0.46589968131849097,0.8694973211004678,0.06952181326581393,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.7996739591838866,0.4048026706420639,0.9821931002285856,0.07296281381365649,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.15741362820904214,0.6009231531737669,-1.9326200603197328,0.05684788885359983,0.3379330324000932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.02985074626865672,0.5223880597014926,-4.129283016944966,0.08135310423328272,0.357953658626444,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.875,0.425,1.0418201756946273,0.08637083416514069,0.36193492412058953,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.001053484392042059,0.40022799991705427,-8.569509351389147,0.193527792720452,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.02316323515103383,0.3941000243840375,-4.088653168624104,0.20934009403612336,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.9634123298785666,0.585344241669422,0.7188680628335108,0.20380393463778496,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.9976181132955543,0.5993707166439302,0.7350390596989955,0.19428744749610719,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.001188825046309766,0.3999050891196304,-8.393977414332177,0.18904418816844293,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.9978639682434272,0.5950492268021561,0.7458341329378677,0.1858035238515974,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.13333333333333333,0.5022222222222222,-1.9132883668066694,0.13513715990776123,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.8013957041426656,0.45102157308271656,0.8293183347257413,0.1911546807810612,0.38693150071519555,r_hippocampus,male_P45_nrxn,male_P45_control
