,binWidth_0_25_NDI_male_P45_nrxn,binWidth_0_25_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_DifferenceAverage,0.8253774294681839,0.31749113210121616,1.378337691077056,0.04109187902393332,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.18062411494372554,0.6895131065050244,-1.9325874568091534,0.04001004663482994,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.1866747189458864,0.6952789332601388,-1.89706531802609,0.03893529369409929,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.8132650256993252,0.34885048861482304,1.2211167180739502,0.05124282785672799,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.794836354479566,0.30972217544407143,1.359683179960193,0.035206259074753235,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.2048385868596067,0.6884955993575532,-1.7489599217774086,0.03401177737926495,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.7586120906558825,0.30904153142903434,1.2955616334390776,0.04835257325409319,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.8287905820607253,0.3189000073701806,1.3779034781590171,0.04393635418160775,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.7440911992303165,0.20010969799386075,1.894688368664858,0.007169166089895876,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.7911032544750003,0.3747291736754648,1.0780177072234347,0.032967441014062904,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.8215336278739558,0.3178644677126538,1.3699078755907048,0.036627392683562514,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.2395071936828238,0.7154367052914267,-1.5787551488550715,0.03041954659495486,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.228793075967182,0.7089628633983618,-1.6316666667162685,0.04251918372385254,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.14812176592074044,0.6123042652585087,-2.047465078153495,0.033174490041032144,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.06463954999650151,0.5498792790133927,-3.088625863270861,0.05139583190302155,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.22879307596718268,0.7089628633983619,-1.6316666667162645,0.042519183723852966,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.7415038671270174,0.2273875985124029,1.7053006434525184,0.03916737346538861,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.8204145543790775,0.31176325158760065,1.3959022023200982,0.04312537275138871,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.1920552671758835,0.691507600101315,-1.8482235768092172,0.03175756275242989,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.2514099844383145,0.7209162764547018,-1.5197897761835497,0.011708753482299328,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.6154329412915225,0.17820410119640853,1.7880711270766176,0.04126355254855723,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.11792554127679208,0.6223754350109079,-2.3999088958317802,0.027426619090903003,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.6807522524217228,0.18486358269867784,1.880668802514404,0.02958704736493991,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.8297462612873867,0.3318745760422085,1.3220321108229074,0.053152345528929015,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.8068831534868739,0.3041391528426481,1.4076282175610504,0.0377692164195644,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.12100835269861296,0.6246648332979522,-2.3679756787923036,0.03591068690436171,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.06463954999650132,0.5498792790133925,-3.0886258632708645,0.05139583190302156,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.5973276894963682,0.22807457008429166,1.3890170027121407,0.047130708400756685,0.16705022880520548,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.7206463754018084,0.29401114030574815,1.293420674886801,0.06196198158089696,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.7925047251079351,0.4046253706620968,0.9698327549463086,0.06220802706796202,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.8808543472830703,0.3914392998434494,1.1701148762124565,0.06407713375513688,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.7894815503563796,0.31029785636729573,1.3472518213620255,0.06417776019777743,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.7393706701839264,0.326161215215263,1.1807125777760055,0.05841642196185418,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.7139510114669776,0.2913604872631334,1.2930198453929622,0.06524619918551307,0.168872515538975,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.9064739217228641,0.43623547039656063,1.0551584352050514,0.07220976898387439,0.17723155183817502,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.6899306672594164,0.29112270495754955,1.2448240282776983,0.0725038166610716,0.17723155183817502,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.9742281027649551,0.5351135114171174,0.8644146431156273,0.0772447763581646,0.183717305932932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.7429092449555994,0.3199413176187833,1.2153786635596215,0.08486132245933264,0.196520957274244,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.048545989102202564,0.4186372331997802,-3.1082766198538807,0.11563410450288418,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.7626863298379539,0.41352402339408706,0.8831186973458238,0.11311043251027218,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.636951406918042,0.28708196687427956,1.1497206032005869,0.11729327767612618,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.04854598910220237,0.41863723319978,-3.1082766198538856,0.11563410450288408,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.06809759894904714,0.4386545117982619,-2.687409271218887,0.10131667226973627,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.018222082560544174,0.38147706662078773,-4.387836572682091,0.11270239191977897,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.7778838392527855,0.3569841097231354,1.1236948772109492,0.10620671717872388,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.7326118678571745,0.35473392758122524,1.04631175240448,0.10911588335068359,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.021705694869959446,0.38129818198899024,-4.134774138573387,0.11259063650130227,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.8279193962409892,0.42892089706433706,0.9487787121654987,0.11834777733436065,0.21254294704946405,r_hippocampus,male_P45_nrxn,male_P45_control
